algorithm,seed,run_id,update,training_tokens,reward_mean,canonical_pass_rate,format_accuracy,parseable_rate,native_entropy,native_entropy_comparable_across_algorithms,truncation_rate
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,1,1588.0,0.215625,0.125,0.5625,0.5625,1.1066670417785645,False,0.0
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,2,3308.0,0.07187500000000001,0.0,0.25,0.25,1.0901492834091187,False,0.0
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,3,4815.0,0.34375,0.25,0.625,0.625,1.913795828819275,False,0.0625
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,4,6319.0,0.509375,0.4375,0.75,0.75,1.4370014667510986,False,0.0
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,5,7785.0,0.275,0.1875,0.625,0.625,1.411299705505371,False,0.0625
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,6,9195.0,0.1125,0.0625,0.25,0.1875,1.1008899211883545,False,0.0
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,7,11183.0,0.14375,0.125,0.25,0.1875,0.9692543745040894,False,0.125
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,8,13468.0,0.2125,0.1875,0.25,0.1875,1.0960034132003784,False,0.125
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,9,15003.0,0.07500000000000001,0.0,0.5,0.25,1.712127685546875,False,0.0
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,10,16255.0,0.29375,0.25,0.375,0.375,1.679436206817627,False,0.0
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,11,17955.0,0.20625000000000002,0.125,0.5625,0.5,1.1392314434051514,False,0.0625
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,12,18966.0,0.425,0.375,0.4375,0.4375,1.3057937622070312,False,0.0
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,13,20765.0,0.165625,0.0625,0.5625,0.5,1.8727107048034668,False,0.125
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,14,22194.0,0.234375,0.125,0.5625,0.5625,1.5606846809387207,False,0.0
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,15,23873.0,0.125,0.0625,0.3125,0.3125,1.4221101999282837,False,0.0625
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,16,25216.0,0.084375,0.0,0.375,0.375,1.6897468566894531,False,0.0
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,17,26982.0,0.153125,0.0625,0.5625,0.25,1.2994519472122192,False,0.0
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,18,28797.0,0.325,0.3125,0.375,0.375,1.1655958890914917,False,0.0
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,19,31021.0,0.1875,0.0625,0.75,0.4375,0.740808367729187,False,0.0
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,20,32394.0,0.2125,0.1875,0.3125,0.3125,1.209712028503418,False,0.0
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,21,34020.0,0.21875,0.1875,0.3125,0.25,1.9367715120315552,False,0.0625
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,22,35631.0,0.390625,0.3125,0.6875,0.625,1.182227373123169,False,0.0
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,23,37547.0,0.228125,0.1875,0.375,0.3125,0.9657084345817566,False,0.0
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,24,39158.0,0.328125,0.25,0.5,0.5,0.7186977863311768,False,0.0
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,25,40826.0,0.15,0.0625,0.5,0.5,1.2243967056274414,False,0.0
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,26,42128.0,0.275,0.25,0.375,0.375,1.0428962707519531,False,0.0
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,27,43501.0,0.4625,0.375,0.8125,0.8125,0.9998006820678711,False,0.0
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,28,44850.0,0.15625,0.0625,0.5625,0.375,1.0539782047271729,False,0.0
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,29,46294.0,0.21875,0.125,0.5,0.5,1.2384920120239258,False,0.0
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,30,48447.0,0.29375,0.25,0.5625,0.375,1.1374833583831787,False,0.125
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,31,49805.0,0.328125,0.25,0.625,0.5625,0.7774076461791992,False,0.0
ppo,42,ppo_formal_1p5b_seed42_composite_20260720T020928Z,32,51369.0,0.146875,0.0625,0.5,0.375,1.775935173034668,False,0.0625
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,1,1567.0,0.08750000000000001,0.0,0.375,0.3125,1.6049563884735107,False,0.0
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,2,3497.0,0.121875,0.0625,0.3125,0.3125,1.2331876754760742,False,0.0
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,3,5003.0,0.29375,0.1875,0.625,0.625,1.07209312915802,False,0.0
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,4,6651.0,0.503125,0.4375,0.75,0.75,0.9594550132751465,False,0.0
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,5,8398.0,0.21875,0.125,0.625,0.5625,1.1706105470657349,False,0.0
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,6,9692.0,0.021875,0.0,0.0625,0.0625,0.8845022916793823,False,0.0
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,7,11811.0,0.090625,0.0625,0.1875,0.125,0.9320453405380249,False,0.125
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,8,14406.0,0.225,0.125,0.6875,0.5625,1.0158368349075317,False,0.25
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,9,15569.0,0.09062500000000001,0.0,0.5625,0.3125,1.0939548015594482,False,0.0
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,10,16708.0,0.475,0.4375,0.625,0.625,1.4868366718292236,False,0.0
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,11,18543.0,0.09375,0.0,0.3125,0.25,0.6914575099945068,False,0.0
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,12,19571.0,0.16875,0.125,0.25,0.25,0.9899740219116211,False,0.0
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,13,21365.0,0.19375,0.125,0.375,0.375,1.5916228294372559,False,0.125
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,14,22914.0,0.140625,0.0625,0.4375,0.375,1.2889341115951538,False,0.125
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,15,24803.0,0.07500000000000001,0.0,0.375,0.375,1.4596455097198486,False,0.125
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,16,26236.0,0.178125,0.125,0.25,0.25,1.2442700862884521,False,0.0
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,17,28219.0,0.13125,0.0625,0.5,0.3125,0.8985558152198792,False,0.125
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,18,29864.0,0.109375,0.0625,0.25,0.25,1.0865641832351685,False,0.0
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,19,32157.0,0.121875,0.0625,0.3125,0.25,0.6408763527870178,False,0.0625
