scope,update_start,update_end,update,group_count,zero_std_group_count,zero_std_group_fraction,all_zero_group_count,all_zero_group_fraction,all_equal_group_count,all_equal_group_fraction,nonzero_variance_group_count,nonzero_variance_group_fraction,zero_advantage_group_count,zero_advantage_group_fraction,reward_mean,reward_std,reward_variance
update,1,1,1,4,1,0.25,1,0.25,1,0.25,3,0.75,1,0.25,0.19062500000000002,0.318305449804115,0.101318359375
update,2,2,2,4,1,0.25,1,0.25,1,0.25,3,0.75,1,0.25,0.11875,0.2423033996872516,0.0587109375
update,3,3,3,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.328125,0.3960621597363222,0.156865234375
update,4,4,4,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.375,0.42829604247529535,0.1834375
update,5,5,5,4,2,0.5,1,0.25,2,0.5,2,0.5,2,0.5,0.196875,0.31447811430209255,0.098896484375
update,6,6,6,4,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,0.06875,0.24165768661476505,0.0583984375
update,7,7,7,4,1,0.25,1,0.25,1,0.25,3,0.75,1,0.25,0.171875,0.3211156090491398,0.103115234375
update,8,8,8,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.14375,0.2364285039922217,0.0558984375
update,9,9,9,4,2,0.5,1,0.25,2,0.5,2,0.5,2,0.5,0.09062500000000001,0.0869963181692191,0.007568359375000001
update,10,10,10,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.365625,0.43363245885772894,0.188037109375
update,11,11,11,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.296875,0.34571879378332904,0.119521484375
update,12,12,12,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.390625,0.41728989848185877,0.174130859375
update,13,13,13,4,1,0.25,0,0.0,1,0.25,3,0.75,1,0.25,0.34375,0.3872479018664917,0.1499609375
update,14,14,14,4,1,0.25,1,0.25,1,0.25,3,0.75,1,0.25,0.2875,0.3511142976297035,0.12328125
update,15,15,15,4,1,0.25,1,0.25,1,0.25,3,0.75,1,0.25,0.125,0.23979157616563598,0.0575
update,16,16,16,4,1,0.25,0,0.0,1,0.25,3,0.75,1,0.25,0.30625,0.34135529511053436,0.1165234375
update,17,17,17,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.11875000000000001,0.07043392293490404,0.0049609375
update,18,18,18,4,2,0.5,1,0.25,2,0.5,2,0.5,2,0.5,0.075,0.09185586535436918,0.0084375
update,19,19,19,4,1,0.25,1,0.25,1,0.25,3,0.75,1,0.25,0.065625,0.08425917976695478,0.0070996093750000005
update,20,20,20,4,2,0.5,1,0.25,2,0.5,2,0.5,2,0.5,0.3875,0.47680577806901625,0.22734375
update,21,21,21,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.225,0.3056754815159371,0.0934375
update,22,22,22,4,2,0.5,0,0.0,2,0.5,2,0.5,2,0.5,0.440625,0.37758225511138627,0.142568359375
update,23,23,23,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.140625,0.2359944053891956,0.055693359375
update,24,24,24,4,3,0.75,1,0.25,3,0.75,1,0.25,3,0.75,0.3125,0.4060095442227929,0.16484375
update,25,25,25,4,1,0.25,1,0.25,1,0.25,3,0.75,1,0.25,0.259375,0.3662388010233214,0.134130859375
update,26,26,26,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.39375,0.4145309849697607,0.1718359375
update,27,27,27,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.5,0.4472135954999579,0.2
update,28,28,28,4,2,0.5,1,0.25,2,0.5,2,0.5,2,0.5,0.29375,0.41302050493891945,0.1705859375
update,29,29,29,4,1,0.25,0,0.0,1,0.25,3,0.75,1,0.25,0.325,0.32787192621510003,0.1075
update,30,30,30,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.36875,0.43115941077517955,0.18589843749999999
update,31,31,31,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.51875,0.4275201018665672,0.1827734375
update,32,32,32,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.325,0.3956797947836104,0.1565625
window,1,1,,4,1,0.25,1,0.25,1,0.25,3,0.75,1,0.25,0.19062500000000002,0.318305449804115,0.101318359375
window,2,8,,28,6,0.21428571428571427,5,0.17857142857142858,6,0.21428571428571427,22,0.7857142857142857,6,0.21428571428571427,0.20044642857142855,0.3359750957842633,0.1128792649872449
window,9,16,,32,6,0.1875,3,0.09375,6,0.1875,26,0.8125,6,0.1875,0.27578125,0.35723462478941975,0.1276165771484375
window,17,24,,32,10,0.3125,4,0.125,10,0.3125,22,0.6875,10,0.3125,0.220703125,0.32617140718529325,0.10638778686523437
window,25,32,,32,4,0.125,2,0.0625,4,0.125,28,0.875,4,0.125,0.373046875,0.4139605932969156,0.17136337280273437
window,1,32,,128,27,0.2109375,15,0.1171875,27,0.2109375,101,0.7890625,27,0.2109375,0.2671875,0.3656750766989049,0.13371826171875
