scope,update_start,update_end,update,group_count,zero_std_group_count,zero_std_group_fraction,all_zero_group_count,all_zero_group_fraction,all_equal_group_count,all_equal_group_fraction,nonzero_variance_group_count,nonzero_variance_group_fraction,zero_advantage_group_count,zero_advantage_group_fraction,reward_mean,reward_std,reward_variance
update,1,1,1,4,2,0.5,1,0.25,2,0.5,2,0.5,2,0.5,0.196875,0.31645929339332096,0.100146484375
update,2,2,2,4,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,0.03125,0.06584783595532961,0.0043359375
update,3,3,3,4,1,0.25,0,0.0,1,0.25,3,0.75,1,0.25,0.26875,0.28111107680061276,0.0790234375
update,4,4,4,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.553125,0.451202819555685,0.203583984375
update,5,5,5,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.17500000000000002,0.22707377655731187,0.0515625
update,6,6,6,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.103125,0.24204128650914083,0.058583984375
update,7,7,7,4,2,0.5,1,0.25,2,0.5,2,0.5,2,0.5,0.1375,0.24011715890373184,0.05765625
update,8,8,8,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.246875,0.3697417806726743,0.136708984375
update,9,9,9,4,1,0.25,0,0.0,1,0.25,3,0.75,1,0.25,0.08750000000000001,0.08569568250501305,0.0073437500000000005
update,10,10,10,4,1,0.25,1,0.25,1,0.25,3,0.75,1,0.25,0.396875,0.47052787842486016,0.221396484375
update,11,11,11,4,2,0.5,1,0.25,2,0.5,2,0.5,2,0.5,0.109375,0.09717694878416383,0.009443359375000002
update,12,12,12,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.15937500000000002,0.23665557118943978,0.056005859375
update,13,13,13,4,1,0.25,1,0.25,1,0.25,3,0.75,1,0.25,0.14375,0.23905739373631596,0.0571484375
update,14,14,14,4,2,0.5,1,0.25,2,0.5,2,0.5,2,0.5,0.23125,0.3014936773798084,0.0908984375
update,15,15,15,4,1,0.25,1,0.25,1,0.25,3,0.75,1,0.25,0.05625,0.08454843286542928,0.0071484375
update,16,16,16,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.08125,0.0933324032691755,0.0087109375
update,17,17,17,4,1,0.25,0,0.0,1,0.25,3,0.75,1,0.25,0.12812500000000002,0.06366108996082301,0.004052734375
update,18,18,18,4,1,0.25,1,0.25,1,0.25,3,0.75,1,0.25,0.1875,0.3184434800714249,0.10140625
update,19,19,19,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.078125,0.07699178121721825,0.005927734375
update,20,20,20,4,1,0.25,1,0.25,1,0.25,3,0.75,1,0.25,0.271875,0.42425255965639147,0.179990234375
update,21,21,21,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.246875,0.36889562802369996,0.136083984375
update,22,22,22,4,1,0.25,0,0.0,1,0.25,3,0.75,1,0.25,0.4375,0.38222212128551636,0.14609375
update,23,23,23,4,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,0.2,0.3872983346207417,0.15
update,24,24,24,4,3,0.75,1,0.25,3,0.75,1,0.25,3,0.75,0.334375,0.3931915682908269,0.154599609375
update,25,25,25,4,1,0.25,1,0.25,1,0.25,3,0.75,1,0.25,0.1375,0.24206145913796356,0.05859375
update,26,26,26,4,1,0.25,0,0.0,1,0.25,3,0.75,1,0.25,0.53125,0.47132625377757176,0.2221484375
update,27,27,27,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.371875,0.36825973765129416,0.135615234375
update,28,28,28,4,1,0.25,1,0.25,1,0.25,3,0.75,1,0.25,0.240625,0.37132311990367634,0.137880859375
update,29,29,29,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.528125,0.41906471382711286,0.17561523437499998
update,30,30,30,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.2375,0.3722818152958858,0.13859375
update,31,31,31,4,1,0.25,0,0.0,1,0.25,3,0.75,1,0.25,0.509375,0.43668450782572993,0.190693359375
update,32,32,32,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.396875,0.41058980062222683,0.168583984375
window,1,1,,4,2,0.5,1,0.25,2,0.5,2,0.5,2,0.5,0.196875,0.31645929339332096,0.100146484375
window,2,8,,28,5,0.17857142857142858,3,0.10714285714285714,5,0.17857142857142858,23,0.8214285714285714,5,0.17857142857142858,0.21651785714285715,0.33027237088021266,0.10907983896683673
window,9,16,,32,8,0.25,5,0.15625,8,0.25,24,0.75,8,0.25,0.158203125,0.26084128793240224,0.06803817749023437
window,17,24,,32,9,0.28125,5,0.15625,9,0.28125,23,0.71875,9,0.28125,0.23554687500000002,0.34821825185899485,0.12125595092773438
window,25,32,,32,4,0.125,2,0.0625,4,0.125,28,0.875,4,0.125,0.369140625,0.41641705983858224,0.17340316772460937
window,1,32,,128,28,0.21875,16,0.125,28,0.21875,100,0.78125,28,0.21875,0.24423828125,0.35167151901248117,0.1236728572845459
