slice,canonical_status,count,denominator,rate
overall,format_error,604,800,0.755
overall,parse_error,34,800,0.0425
overall,invalid_expression,0,800,0.0
overall,invalid_number_usage,0,800,0.0
overall,resource_limit,0,800,0.0
overall,wrong_answer,113,800,0.14125
overall,verified_pass,49,800,0.06125
gsm8k,format_error,313,400,0.7825
gsm8k,parse_error,28,400,0.07
gsm8k,invalid_expression,0,400,0.0
gsm8k,invalid_number_usage,0,400,0.0
gsm8k,resource_limit,0,400,0.0
gsm8k,wrong_answer,36,400,0.09
gsm8k,verified_pass,23,400,0.0575
math500,format_error,291,400,0.7275
math500,parse_error,6,400,0.015
math500,invalid_expression,0,400,0.0
math500,invalid_number_usage,0,400,0.0
math500,resource_limit,0,400,0.0
math500,wrong_answer,77,400,0.1925
math500,verified_pass,26,400,0.065
math500_level_1,format_error,41,80,0.5125
math500_level_1,parse_error,1,80,0.0125
math500_level_1,invalid_expression,0,80,0.0
math500_level_1,invalid_number_usage,0,80,0.0
math500_level_1,resource_limit,0,80,0.0
math500_level_1,wrong_answer,25,80,0.3125
math500_level_1,verified_pass,13,80,0.1625
math500_level_2,format_error,64,80,0.8
math500_level_2,parse_error,2,80,0.025
math500_level_2,invalid_expression,0,80,0.0
math500_level_2,invalid_number_usage,0,80,0.0
math500_level_2,resource_limit,0,80,0.0
math500_level_2,wrong_answer,7,80,0.0875
math500_level_2,verified_pass,7,80,0.0875
math500_level_3,format_error,59,80,0.7375
math500_level_3,parse_error,2,80,0.025
math500_level_3,invalid_expression,0,80,0.0
math500_level_3,invalid_number_usage,0,80,0.0
math500_level_3,resource_limit,0,80,0.0
math500_level_3,wrong_answer,16,80,0.2
math500_level_3,verified_pass,3,80,0.0375
math500_level_4,format_error,60,80,0.75
math500_level_4,parse_error,1,80,0.0125
math500_level_4,invalid_expression,0,80,0.0
math500_level_4,invalid_number_usage,0,80,0.0
math500_level_4,resource_limit,0,80,0.0
math500_level_4,wrong_answer,16,80,0.2
math500_level_4,verified_pass,3,80,0.0375
math500_level_5,format_error,67,80,0.8375
math500_level_5,parse_error,0,80,0.0
math500_level_5,invalid_expression,0,80,0.0
math500_level_5,invalid_number_usage,0,80,0.0
math500_level_5,resource_limit,0,80,0.0
math500_level_5,wrong_answer,13,80,0.1625
math500_level_5,verified_pass,0,80,0.0
