seed,run_id,update,cumulative_generated_tokens,reward_mean,canonical_pass_rate,format_accuracy,parseable_rate,entropy,zero_advantage_fraction,truncation_rate
42,grpo_formal_1p5b_seed42_20260720T031006Z,1,1537.0,0.19062500000000002,0.125,0.4375,0.4375,0.2822854444384575,0.25,0.0
42,grpo_formal_1p5b_seed42_20260720T031006Z,2,3141.0,0.11875,0.0625,0.25,0.25,0.29175449907779694,0.25,0.0
42,grpo_formal_1p5b_seed42_20260720T031006Z,3,4763.0,0.328125,0.25,0.625,0.5625,0.26220760121941566,0.0,0.0625
42,grpo_formal_1p5b_seed42_20260720T031006Z,4,6401.0,0.375,0.3125,0.5625,0.5625,0.3248148038983345,0.0,0.0
42,grpo_formal_1p5b_seed42_20260720T031006Z,5,8039.0,0.196875,0.125,0.5,0.375,0.33804572746157646,0.5,0.0625
42,grpo_formal_1p5b_seed42_20260720T031006Z,6,10170.0,0.06875,0.0625,0.125,0.0625,0.2760927751660347,0.5,0.3125
42,grpo_formal_1p5b_seed42_20260720T031006Z,7,12505.0,0.171875,0.125,0.375,0.25,0.2695411220192909,0.25,0.1875
42,grpo_formal_1p5b_seed42_20260720T031006Z,8,14333.0,0.14375,0.0625,0.4375,0.3125,0.3315870016813278,0.0,0.125
42,grpo_formal_1p5b_seed42_20260720T031006Z,9,15806.0,0.09062500000000001,0.0,0.5,0.3125,0.31877344846725464,0.5,0.0625
42,grpo_formal_1p5b_seed42_20260720T031006Z,10,16941.0,0.365625,0.3125,0.4375,0.4375,0.2386881597340107,0.0,0.0625
42,grpo_formal_1p5b_seed42_20260720T031006Z,11,18663.0,0.296875,0.1875,0.75,0.625,0.2728268578648567,0.0,0.0
42,grpo_formal_1p5b_seed42_20260720T031006Z,12,19683.0,0.390625,0.3125,0.5625,0.5625,0.25604530051350594,0.0,0.0
42,grpo_formal_1p5b_seed42_20260720T031006Z,13,21462.0,0.34375,0.25,0.75,0.6875,0.3531080335378647,0.25,0.0625
42,grpo_formal_1p5b_seed42_20260720T031006Z,14,22830.0,0.2875,0.1875,0.625,0.5625,0.2226969376206398,0.25,0.0
42,grpo_formal_1p5b_seed42_20260720T031006Z,15,24522.0,0.125,0.0625,0.1875,0.1875,0.364780068397522,0.25,0.0625
42,grpo_formal_1p5b_seed42_20260720T031006Z,16,26205.0,0.30625,0.1875,0.6875,0.6875,0.3067150339484215,0.25,0.0
42,grpo_formal_1p5b_seed42_20260720T031006Z,17,27602.0,0.11875000000000001,0.0,0.6875,0.3125,0.347715612500906,0.0,0.0
42,grpo_formal_1p5b_seed42_20260720T031006Z,18,28971.0,0.075,0.0,0.3125,0.3125,0.3147662915289402,0.5,0.0
42,grpo_formal_1p5b_seed42_20260720T031006Z,19,30947.0,0.065625,0.0,0.375,0.25,0.32270050048828125,0.25,0.0
42,grpo_formal_1p5b_seed42_20260720T031006Z,20,32039.0,0.3875,0.375,0.4375,0.4375,0.19548098370432854,0.5,0.0
42,grpo_formal_1p5b_seed42_20260720T031006Z,21,33434.0,0.225,0.125,0.5625,0.5625,0.3070858046412468,0.0,0.0
42,grpo_formal_1p5b_seed42_20260720T031006Z,22,35084.0,0.440625,0.3125,0.8125,0.8125,0.29140055924654007,0.5,0.0
42,grpo_formal_1p5b_seed42_20260720T031006Z,23,37013.0,0.140625,0.0625,0.375,0.25,0.23517557233572006,0.0,0.0
42,grpo_formal_1p5b_seed42_20260720T031006Z,24,38454.0,0.3125,0.25,0.5625,0.5625,0.22683687135577202,0.75,0.0
42,grpo_formal_1p5b_seed42_20260720T031006Z,25,40113.0,0.259375,0.1875,0.5,0.5,0.26264265552163124,0.25,0.0
42,grpo_formal_1p5b_seed42_20260720T031006Z,26,41483.0,0.39375,0.3125,0.8125,0.625,0.2581530250608921,0.0,0.0
42,grpo_formal_1p5b_seed42_20260720T031006Z,27,42902.0,0.5,0.4375,0.75,0.75,0.24271098896861076,0.0,0.0
42,grpo_formal_1p5b_seed42_20260720T031006Z,28,44088.0,0.29375,0.25,0.5625,0.375,0.2859594561159611,0.5,0.0
42,grpo_formal_1p5b_seed42_20260720T031006Z,29,45796.0,0.325,0.1875,0.6875,0.6875,0.28697024285793304,0.25,0.0
42,grpo_formal_1p5b_seed42_20260720T031006Z,30,47551.0,0.36875,0.3125,0.6875,0.5,0.23293489962816238,0.0,0.0
42,grpo_formal_1p5b_seed42_20260720T031006Z,31,48996.0,0.51875,0.4375,0.9375,0.75,0.2241721823811531,0.0,0.0
42,grpo_formal_1p5b_seed42_20260720T031006Z,32,50773.0,0.325,0.25,0.625,0.4375,0.2612311393022537,0.0,0.0
123,grpo_formal_1p5b_seed123_20260720T035927Z,1,1803.0,0.196875,0.125,0.4375,0.4375,0.2863875888288021,0.5,0.0
123,grpo_formal_1p5b_seed123_20260720T035927Z,2,3323.0,0.03125,0.0,0.0625,0.0625,0.2730042263865471,0.5,0.0
123,grpo_formal_1p5b_seed123_20260720T035927Z,3,4866.0,0.26875,0.125,0.6875,0.625,0.26277900487184525,0.25,0.0
123,grpo_formal_1p5b_seed123_20260720T035927Z,4,6514.0,0.553125,0.5,0.75,0.6875,0.26915353909134865,0.0,0.0
123,grpo_formal_1p5b_seed123_20260720T035927Z,5,7899.0,0.17500000000000002,0.0625,0.625,0.4375,0.32875820621848106,0.0,0.0
123,grpo_formal_1p5b_seed123_20260720T035927Z,6,9340.0,0.103125,0.0625,0.1875,0.1875,0.33677680790424347,0.0,0.0625
123,grpo_formal_1p5b_seed123_20260720T035927Z,7,11829.0,0.1375,0.0625,0.375,0.375,0.2825857512652874,0.5,0.1875
123,grpo_formal_1p5b_seed123_20260720T035927Z,8,13915.0,0.246875,0.1875,0.5,0.375,0.2893577739596367,0.0,0.0625
123,grpo_formal_1p5b_seed123_20260720T035927Z,9,15527.0,0.08750000000000001,0.0,0.375,0.3125,0.27643291652202606,0.25,0.0625
123,grpo_formal_1p5b_seed123_20260720T035927Z,10,16724.0,0.396875,0.375,0.4375,0.4375,0.25652533769607544,0.25,0.0
123,grpo_formal_1p5b_seed123_20260720T035927Z,11,18323.0,0.109375,0.0,0.5,0.5,0.3301035761833191,0.5,0.0
123,grpo_formal_1p5b_seed123_20260720T035927Z,12,19557.0,0.15937500000000002,0.0625,0.5,0.5,0.22860843315720558,0.0,0.0
123,grpo_formal_1p5b_seed123_20260720T035927Z,13,21137.0,0.14375,0.0625,0.375,0.375,0.30761246383190155,0.25,0.0
123,grpo_formal_1p5b_seed123_20260720T035927Z,14,22387.0,0.23125,0.125,0.75,0.5625,0.22233255580067635,0.5,0.0
123,grpo_formal_1p5b_seed123_20260720T035927Z,15,24293.0,0.05625,0.0,0.1875,0.1875,0.3250541016459465,0.25,0.125
123,grpo_formal_1p5b_seed123_20260720T035927Z,16,25800.0,0.08125,0.0,0.3125,0.3125,0.3040900006890297,0.0,0.0
123,grpo_formal_1p5b_seed123_20260720T035927Z,17,27617.0,0.12812500000000002,0.0,0.6875,0.3125,0.25951163470745087,0.25,0.0625
123,grpo_formal_1p5b_seed123_20260720T035927Z,18,29173.0,0.1875,0.125,0.375,0.375,0.28170688450336456,0.25,0.0
123,grpo_formal_1p5b_seed123_20260720T035927Z,19,31261.0,0.078125,0.0,0.5,0.1875,0.2973209246993065,0.0,0.125
123,grpo_formal_1p5b_seed123_20260720T035927Z,20,32557.0,0.271875,0.25,0.3125,0.3125,0.20227176696062088,0.25,0.0
123,grpo_formal_1p5b_seed123_20260720T035927Z,21,34081.0,0.246875,0.1875,0.3125,0.3125,0.2871648594737053,0.0,0.0
123,grpo_formal_1p5b_seed123_20260720T035927Z,22,35827.0,0.4375,0.3125,0.9375,0.9375,0.32109954208135605,0.25,0.0
123,grpo_formal_1p5b_seed123_20260720T035927Z,23,37787.0,0.2,0.1875,0.25,0.25,0.19828621670603752,0.5,0.0
123,grpo_formal_1p5b_seed123_20260720T035927Z,24,39292.0,0.334375,0.25,0.625,0.625,0.21717149764299393,0.75,0.0
123,grpo_formal_1p5b_seed123_20260720T035927Z,25,40984.0,0.1375,0.0625,0.4375,0.4375,0.2469605803489685,0.25,0.0625
123,grpo_formal_1p5b_seed123_20260720T035927Z,26,42395.0,0.53125,0.5,0.75,0.5625,0.2599433697760105,0.25,0.0
123,grpo_formal_1p5b_seed123_20260720T035927Z,27,44016.0,0.371875,0.25,0.8125,0.8125,0.22288193553686142,0.0,0.0
123,grpo_formal_1p5b_seed123_20260720T035927Z,28,45412.0,0.240625,0.1875,0.5,0.3125,0.22511258348822594,0.25,0.0
123,grpo_formal_1p5b_seed123_20260720T035927Z,29,47057.0,0.528125,0.4375,0.875,0.8125,0.24909143149852753,0.0,0.0
123,grpo_formal_1p5b_seed123_20260720T035927Z,30,49351.0,0.2375,0.1875,0.5625,0.3125,0.1864471361041069,0.0,0.1875
123,grpo_formal_1p5b_seed123_20260720T035927Z,31,50597.0,0.509375,0.4375,0.8125,0.6875,0.20018184930086136,0.25,0.0
123,grpo_formal_1p5b_seed123_20260720T035927Z,32,52284.0,0.396875,0.3125,0.6875,0.5,0.24426964670419693,0.0,0.0
