update,generated_tokens,cumulative_generated_tokens,reward_mean,reward_std,reward_variance,format_accuracy,valid_answer_component_rate,valid_answer_rate_available,valid_answer_rate_definition_version,parseable_rate,canonical_pass_rate,accuracy_given_parseable,accuracy_given_parseable_available,accuracy_given_parseable_reason,grpo_loss,policy_loss,value_loss,policy_value_loss_reason,kl,kl_available,kl_reason,ratio_mean,ratio_available,ratio_reason,ratio_variance,ratio_variance_available,ratio_variance_reason,clip_fraction,clip_fraction_available,clip_fraction_reason,policy_entropy_mean,entropy_raw_metric_key,response_token_entropy_mean,response_token_entropy_mean_available,response_token_entropy_mean_reason,policy_entropy_std,policy_entropy_std_available,policy_entropy_std_reason,grad_norm,policy_grad_norm,policy_grad_norm_available,policy_grad_norm_reason,learning_rate,completion_length_mean,completion_length_std,eos_rate,truncation_rate,unique_completion_rate,completion_duplicate_rate,zero_advantage_group_count,zero_advantage_fraction,nonzero_variance_group_count,nonzero_variance_group_fraction,all_zero_group_count,all_equal_group_count
1,1537,1537,0.19062500000000002,0.318305449804115,0.101318359375,0.4375,0.4375,True,formal_domain_valid_answer_component_v1,0.4375,0.125,0.2857142857142857,True,,0.0188,,,GRPO has no PPO value model/value loss,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,,0.2822854444384575,entropy,,False,native GRPO entropy is microbatch-mean aggregated and cannot be made identical to PPO without an additional or intrusive logits computation,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,0.3854798674583435,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,1e-05,96.0625,57.80297218785553,1.0,0.0,1.0,0.0,1,0.25,3,0.75,1,1
2,1604,3141,0.11875,0.2423033996872516,0.0587109375,0.25,0.375,True,formal_domain_valid_answer_component_v1,0.25,0.0625,0.25,True,,-0.1938,,,GRPO has no PPO value model/value loss,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,,0.29175449907779694,entropy,,False,native GRPO entropy is microbatch-mean aggregated and cannot be made identical to PPO without an additional or intrusive logits computation,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,0.6376862525939941,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,9.6875e-06,100.25,61.62335190493941,1.0,0.0,1.0,0.0,1,0.25,3,0.75,1,1
3,1622,4763,0.328125,0.3960621597363222,0.156865234375,0.625,0.625,True,formal_domain_valid_answer_component_v1,0.5625,0.25,0.4444444444444444,True,,-0.0556,,,GRPO has no PPO value model/value loss,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,,0.26220760121941566,entropy,,False,native GRPO entropy is microbatch-mean aggregated and cannot be made identical to PPO without an additional or intrusive logits computation,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,1.4152675867080688,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,9.375000000000001e-06,101.375,56.58497481664192,0.9375,0.0625,1.0,0.0,0,0.0,4,1.0,0,0
4,1638,6401,0.375,0.42829604247529535,0.1834375,0.5625,0.625,True,formal_domain_valid_answer_component_v1,0.5625,0.3125,0.5555555555555556,True,,0.0638,,,GRPO has no PPO value model/value loss,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,,0.3248148038983345,entropy,,False,native GRPO entropy is microbatch-mean aggregated and cannot be made identical to PPO without an additional or intrusive logits computation,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,0.5572800040245056,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,9.0625e-06,102.375,38.02445758981974,1.0,0.0,1.0,0.0,0,0.0,4,1.0,0,0
5,1638,8039,0.196875,0.31447811430209255,0.098896484375,0.5,0.4375,True,formal_domain_valid_answer_component_v1,0.375,0.125,0.3333333333333333,True,,0.0273,,,GRPO has no PPO value model/value loss,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,,0.33804572746157646,entropy,,False,native GRPO entropy is microbatch-mean aggregated and cannot be made identical to PPO without an additional or intrusive logits computation,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,0.38369783759117126,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,8.750000000000001e-06,102.375,50.87346435028776,0.9375,0.0625,1.0,0.0,2,0.5,2,0.5,1,2
6,2131,10170,0.06875,0.24165768661476505,0.0583984375,0.125,0.0625,True,formal_domain_valid_answer_component_v1,0.0625,0.0625,1.0,True,,0.0179,,,GRPO has no PPO value model/value loss,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,,0.2760927751660347,entropy,,False,native GRPO entropy is microbatch-mean aggregated and cannot be made identical to PPO without an additional or intrusive logits computation,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,1.055120825767517,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,8.4375e-06,133.1875,87.55585270985601,0.6875,0.3125,1.0,0.0,2,0.5,2,0.5,2,2
7,2335,12505,0.171875,0.3211156090491398,0.103115234375,0.375,0.3125,True,formal_domain_valid_answer_component_v1,0.25,0.125,0.5,True,,0.0622,,,GRPO has no PPO value model/value loss,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,,0.2695411220192909,entropy,,False,native GRPO entropy is microbatch-mean aggregated and cannot be made identical to PPO without an additional or intrusive logits computation,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,0.22058942914009094,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,8.125000000000001e-06,145.9375,76.90129123590839,0.8125,0.1875,1.0,0.0,1,0.25,3,0.75,1,1
8,1828,14333,0.14375,0.2364285039922217,0.0558984375,0.4375,0.4375,True,formal_domain_valid_answer_component_v1,0.3125,0.0625,0.2,True,,0.0889,,,GRPO has no PPO value model/value loss,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,,0.3315870016813278,entropy,,False,native GRPO entropy is microbatch-mean aggregated and cannot be made identical to PPO without an additional or intrusive logits computation,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,0.4438727796077728,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,7.8125e-06,114.25,63.27568648383042,0.875,0.125,1.0,0.0,0,0.0,4,1.0,0,0
9,1473,15806,0.09062500000000001,0.0869963181692191,0.007568359375000001,0.5,0.375,True,formal_domain_valid_answer_component_v1,0.3125,0.0,0.0,True,,0.1881,,,GRPO has no PPO value model/value loss,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,,0.31877344846725464,entropy,,False,native GRPO entropy is microbatch-mean aggregated and cannot be made identical to PPO without an additional or intrusive logits computation,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,0.3047908842563629,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,7.500000000000001e-06,92.0625,54.29142283777429,0.9375,0.0625,1.0,0.0,2,0.5,2,0.5,1,2
10,1135,16941,0.365625,0.43363245885772894,0.188037109375,0.4375,0.625,True,formal_domain_valid_answer_component_v1,0.4375,0.3125,0.7142857142857143,True,,0.2438,,,GRPO has no PPO value model/value loss,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,,0.2386881597340107,entropy,,False,native GRPO entropy is microbatch-mean aggregated and cannot be made identical to PPO without an additional or intrusive logits computation,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,0.837053120136261,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,7.1875e-06,70.9375,50.593315702274346,0.9375,0.0625,0.9375,0.0625,0,0.0,4,1.0,0,0
