run_id,seed,math500_level,problem_count,pass4_problem_count,pass_at_1,pass_at_4
baseline_formal_1p5b_seed42_20260718T125833Z,42,1,40,10,0.125,0.2
baseline_formal_1p5b_seed42_20260718T125833Z,42,2,40,10,0.1,0.1
baseline_formal_1p5b_seed42_20260718T125833Z,42,3,40,10,0.0,0.1
baseline_formal_1p5b_seed42_20260718T125833Z,42,4,40,10,0.0,0.1
baseline_formal_1p5b_seed42_20260718T125833Z,42,5,40,10,0.0,0.0
baseline_formal_1p5b_seed123_20260718T133624Z,123,1,40,10,0.025,0.3
baseline_formal_1p5b_seed123_20260718T133624Z,123,2,40,10,0.075,0.1
baseline_formal_1p5b_seed123_20260718T133624Z,123,3,40,10,0.0,0.1
baseline_formal_1p5b_seed123_20260718T133624Z,123,4,40,10,0.05,0.0
baseline_formal_1p5b_seed123_20260718T133624Z,123,5,40,10,0.025,0.0
