scope,update_start,update_end,update,group_count,zero_std_group_count,zero_std_group_fraction,all_zero_group_count,all_zero_group_fraction,all_equal_group_count,all_equal_group_fraction,nonzero_variance_group_count,nonzero_variance_group_fraction,zero_advantage_group_count,zero_advantage_group_fraction,reward_mean,reward_std,reward_variance
update,1,1,1,4,1,0.25,1,0.25,1,0.25,3,0.75,1,0.25,0.08750000000000001,0.09100137361600648,0.00828125
update,2,2,2,4,1,0.25,1,0.25,1,0.25,3,0.75,1,0.25,0.121875,0.24300768377769458,0.059052734375
update,3,3,3,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.29375,0.34860211918460854,0.1215234375
update,4,4,4,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.503125,0.443871022229431,0.197021484375
update,5,5,5,4,2,0.5,1,0.25,2,0.5,2,0.5,2,0.5,0.21875,0.30866395562164367,0.0952734375
update,6,6,6,4,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,0.021875,0.058546856234984984,0.0034277343750000002
update,7,7,7,4,1,0.25,1,0.25,1,0.25,3,0.75,1,0.25,0.090625,0.24252496649829683,0.058818359375
update,8,8,8,4,2,0.5,1,0.25,2,0.5,2,0.5,2,0.5,0.225,0.3051638903933426,0.093125
update,9,9,9,4,1,0.25,0,0.0,1,0.25,3,0.75,1,0.25,0.09062500000000001,0.08332682266233365,0.006943359375000001
update,10,10,10,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.475,0.4683748498798799,0.219375
update,11,11,11,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.09375,0.08637671850678283,0.0074609375000000006
update,12,12,12,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.16875,0.32301073898556376,0.1043359375
update,13,13,13,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.19375,0.316659813522335,0.1002734375
update,14,14,14,4,1,0.25,1,0.25,1,0.25,3,0.75,1,0.25,0.140625,0.23928196625529471,0.057255859375
update,15,15,15,4,2,0.5,1,0.25,2,0.5,2,0.5,2,0.5,0.07500000000000001,0.09682458365518543,0.009375000000000001
update,16,16,16,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.178125,0.32014096016442506,0.102490234375
update,17,17,17,4,1,0.25,1,0.25,1,0.25,3,0.75,1,0.25,0.13125,0.23905739373631596,0.0571484375
update,18,18,18,4,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,0.109375,0.24381008874736912,0.059443359375
update,19,19,19,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.121875,0.23977121256522851,0.057490234375
update,20,20,20,4,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,0.2125,0.38385381331960217,0.14734375
update,21,21,21,4,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,0.196875,0.38668008013731453,0.149521484375
update,22,22,22,4,2,0.5,0,0.0,2,0.5,2,0.5,2,0.5,0.528125,0.41906471382711286,0.17561523437499998
update,23,23,23,4,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,0.159375,0.32558541026127075,0.106005859375
update,24,24,24,4,2,0.5,1,0.25,2,0.5,2,0.5,2,0.5,0.33125,0.39444383313724146,0.1555859375
update,25,25,25,4,3,0.75,2,0.5,3,0.75,1,0.25,3,0.75,0.2,0.31622776601683794,0.1
update,26,26,26,4,3,0.75,2,0.5,3,0.75,1,0.25,3,0.75,0.3125,0.46351240544347894,0.21484375
update,27,27,27,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.321875,0.4003782391376934,0.160302734375
update,28,28,28,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.246875,0.3697417806726743,0.136708984375
update,29,29,29,4,1,0.25,0,0.0,1,0.25,3,0.75,1,0.25,0.25625,0.29094404530768453,0.08464843749999999
update,30,30,30,4,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,0.225,0.3799671038392666,0.144375
update,31,31,31,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0.3875,0.419635258289863,0.17609375
update,32,32,32,4,1,0.25,1,0.25,1,0.25,3,0.75,1,0.25,0.196875,0.31447811430209255,0.098896484375
update_1,1,1,1,4,1,0.25,1,0.25,1,0.25,3,0.75,1,0.25,0.08750000000000001,0.09100137361600648,0.00828125
updates_2_8,2,8,,28,8,0.2857142857142857,6,0.21428571428571427,8,0.2857142857142857,20,0.7142857142857143,8,0.2857142857142857,0.21071428571428572,0.333570281429658,0.11126913265306122
updates_9_16,9,16,,32,4,0.125,2,0.0625,4,0.125,28,0.875,4,0.125,0.176953125,0.30057902089589417,0.09034774780273437
updates_17_24,17,24,,32,13,0.40625,10,0.3125,13,0.40625,19,0.59375,13,0.40625,0.223828125,0.36217468397029684,0.13117050170898437
updates_25_32,25,32,,32,10,0.3125,7,0.21875,10,0.3125,22,0.6875,10,0.3125,0.268359375,0.3786732128096855,0.14339340209960938
run_total,1,32,,128,36,0.28125,26,0.203125,36,0.28125,92,0.71875,36,0.28125,0.21611328125,0.34268176469555306,0.1174307918548584
