update,generated_tokens,cumulative_generated_tokens,reward_mean,reward_std,reward_variance,format_accuracy,valid_answer_component_rate,valid_answer_rate_available,valid_answer_rate_definition_version,parseable_rate,canonical_pass_rate,accuracy_given_parseable,accuracy_given_parseable_available,accuracy_given_parseable_reason,policy_loss,value_loss,total_loss,kl,kl_available,kl_reason,ratio_mean,ratio_available,ratio_reason,ratio_variance,ratio_variance_available,ratio_variance_reason,clip_fraction,clip_fraction_available,clip_fraction_reason,policy_entropy_mean,entropy_raw_metric_key,response_token_entropy_mean,response_token_entropy_mean_available,response_token_entropy_mean_reason,policy_entropy_std,policy_entropy_std_available,policy_entropy_std_reason,policy_grad_norm,policy_grad_norm_available,policy_grad_norm_reason,value_grad_norm,value_grad_norm_available,value_grad_norm_reason,learning_rate,completion_length_mean,completion_length_std,eos_rate,truncation_rate,unique_completion_rate,completion_duplicate_rate,zero_advantage_group_count,zero_advantage_fraction
1,1567,1567,0.08750000000000001,0.09100137361600648,0.00828125,0.375,0.4375,True,formal_domain_valid_answer_component_v1,0.3125,0.0,0.0,True,,0.004180473741143942,3.341883420944214,0.33836881583556533,0.000403887708671391,True,,0.995063066482544,True,,1.1590421991058975e-06,True,,0.003735589561983943,True,,1.6049563884735107,policy/entropy_avg,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,1e-05,97.9375,61.98938291151155,1.0,0.0,1.0,0.0,1,0.25
2,1930,3497,0.121875,0.24300768377769458,0.059052734375,0.3125,0.375,True,formal_domain_valid_answer_component_v1,0.3125,0.0625,0.2,True,,0.0012461442966014147,3.159575939178467,0.31720373821444814,0.0006614023586735129,True,,0.9948669075965881,True,,3.7660204270650866e-06,True,,0.004838087595999241,True,,1.2331876754760742,policy/entropy_avg,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,9.6875e-06,120.625,61.28506649258039,1.0,0.0,1.0,0.0,1,0.25
3,1506,5003,0.29375,0.34860211918460854,0.1215234375,0.625,0.75,True,formal_domain_valid_answer_component_v1,0.625,0.1875,0.3,True,,-0.0001645099837332964,3.6972849369049072,0.36956398370675747,0.0004983206745237112,True,,0.9958170652389526,True,,4.6597753566857136e-07,True,,0.001855556620284915,True,,1.07209312915802,policy/entropy_avg,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,9.375000000000001e-06,94.125,37.59633459527671,1.0,0.0,1.0,0.0,0,0.0
4,1648,6651,0.503125,0.443871022229431,0.197021484375,0.75,0.75,True,formal_domain_valid_answer_component_v1,0.75,0.4375,0.5833333333333334,True,,0.0064951032400131226,3.2508745193481445,0.3315825551748276,0.0008627579663880169,True,,0.9937268495559692,True,,1.2017449080303777e-05,True,,0.007139279507100582,True,,0.9594550132751465,policy/entropy_avg,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,9.0625e-06,103.0,39.956226048014095,1.0,0.0,1.0,0.0,0,0.0
5,1747,8398,0.21875,0.30866395562164367,0.0952734375,0.625,0.5625,True,formal_domain_valid_answer_component_v1,0.5625,0.125,0.2222222222222222,True,,0.003774152137339115,3.903998613357544,0.39417401347309355,0.0005874806083738804,True,,0.9951632022857666,True,,6.358550763252424e-06,True,,0.004831355065107346,True,,1.1706105470657349,policy/entropy_avg,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,8.750000000000001e-06,109.1875,51.586358116754084,1.0,0.0,1.0,0.0,2,0.5
6,1294,9692,0.021875,0.058546856234984984,0.0034277343750000002,0.0625,0.125,True,formal_domain_valid_answer_component_v1,0.0625,0.0,0.0,True,,0.010650290176272392,3.8101541996002197,0.39166571013629436,0.0005436475621536374,True,,0.9944886565208435,True,,3.129229924070387e-07,True,,0.0032022930681705475,True,,0.8845022916793823,policy/entropy_avg,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,8.4375e-06,80.875,36.027550222017595,1.0,0.0,1.0,0.0,2,0.5
7,2119,11811,0.090625,0.24252496649829683,0.058818359375,0.1875,0.1875,True,formal_domain_valid_answer_component_v1,0.125,0.0625,0.5,True,,0.0027790472377091646,2.718686103820801,0.27464765761978926,0.0005844047991558909,True,,0.9945915341377258,True,,3.5405530525167705e-06,True,,0.005033929832279682,True,,0.9320453405380249,policy/entropy_avg,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,8.125000000000001e-06,132.4375,66.31456170216312,0.875,0.125,1.0,0.0,1,0.25
8,2595,14406,0.225,0.3051638903933426,0.093125,0.6875,0.5625,True,formal_domain_valid_answer_component_v1,0.5625,0.125,0.2222222222222222,True,,0.005233315285295248,3.3704099655151367,0.34227431183680895,0.0006260959198698401,True,,0.9948163032531738,True,,1.6952416217463906e-06,True,,0.004880966618657112,True,,1.0158368349075317,policy/entropy_avg,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,7.8125e-06,162.1875,75.15834846342753,0.75,0.25,1.0,0.0,2,0.5
9,1163,15569,0.09062500000000001,0.08332682266233365,0.006943359375000001,0.5625,0.3125,True,formal_domain_valid_answer_component_v1,0.3125,0.0,0.0,True,,0.007949051447212696,3.2606568336486816,0.3340147348120809,0.0006078428123146296,True,,0.9942635893821716,True,,1.065122432919452e-06,True,,0.005755916703492403,True,,1.0939548015594482,policy/entropy_avg,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,7.500000000000001e-06,72.6875,33.26168732566043,1.0,0.0,1.0,0.0,1,0.25
10,1139,16708,0.475,0.4683748498798799,0.219375,0.625,0.625,True,formal_domain_valid_answer_component_v1,0.625,0.4375,0.7,True,,0.007797653321176767,3.356935501098633,0.34349120343104006,0.0007119069341570139,True,,0.9949533939361572,True,,6.702567134198034e-06,True,,0.007470645941793919,True,,1.4868366718292236,policy/entropy_avg,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,7.1875e-06,71.1875,30.352550860677262,1.0,0.0,1.0,0.0,0,0.0
