model,slice,status,count,denominator,rate
base,overall,format_error,692,800,0.865
base,overall,parse_error,12,800,0.015
base,overall,wrong_answer,67,800,0.08375
base,overall,verified_pass,29,800,0.03625
base,gsm8k,format_error,362,400,0.905
base,gsm8k,parse_error,9,400,0.0225
base,gsm8k,wrong_answer,17,400,0.0425
base,gsm8k,verified_pass,12,400,0.03
base,math500,format_error,330,400,0.825
base,math500,parse_error,3,400,0.0075
base,math500,wrong_answer,50,400,0.125
base,math500,verified_pass,17,400,0.0425
base,math500_level_1,format_error,54,80,0.675
base,math500_level_1,parse_error,1,80,0.0125
base,math500_level_1,wrong_answer,15,80,0.1875
base,math500_level_1,verified_pass,10,80,0.125
base,math500_level_2,format_error,68,80,0.85
base,math500_level_2,parse_error,1,80,0.0125
base,math500_level_2,wrong_answer,6,80,0.075
base,math500_level_2,verified_pass,5,80,0.0625
base,math500_level_3,format_error,64,80,0.8
base,math500_level_3,parse_error,1,80,0.0125
base,math500_level_3,wrong_answer,14,80,0.175
base,math500_level_3,verified_pass,1,80,0.0125
base,math500_level_4,format_error,72,80,0.9
base,math500_level_4,parse_error,0,80,0.0
base,math500_level_4,wrong_answer,7,80,0.0875
base,math500_level_4,verified_pass,1,80,0.0125
base,math500_level_5,format_error,72,80,0.9
base,math500_level_5,parse_error,0,80,0.0
base,math500_level_5,wrong_answer,8,80,0.1
base,math500_level_5,verified_pass,0,80,0.0
ppo_checkpoint32,overall,format_error,688,800,0.86
ppo_checkpoint32,overall,parse_error,14,800,0.0175
ppo_checkpoint32,overall,wrong_answer,71,800,0.08875
ppo_checkpoint32,overall,verified_pass,27,800,0.03375
ppo_checkpoint32,gsm8k,format_error,361,400,0.9025
ppo_checkpoint32,gsm8k,parse_error,10,400,0.025
ppo_checkpoint32,gsm8k,wrong_answer,20,400,0.05
ppo_checkpoint32,gsm8k,verified_pass,9,400,0.0225
ppo_checkpoint32,math500,format_error,327,400,0.8175
ppo_checkpoint32,math500,parse_error,4,400,0.01
ppo_checkpoint32,math500,wrong_answer,51,400,0.1275
ppo_checkpoint32,math500,verified_pass,18,400,0.045
ppo_checkpoint32,math500_level_1,format_error,51,80,0.6375
ppo_checkpoint32,math500_level_1,parse_error,1,80,0.0125
ppo_checkpoint32,math500_level_1,wrong_answer,18,80,0.225
ppo_checkpoint32,math500_level_1,verified_pass,10,80,0.125
ppo_checkpoint32,math500_level_2,format_error,69,80,0.8625
ppo_checkpoint32,math500_level_2,parse_error,1,80,0.0125
ppo_checkpoint32,math500_level_2,wrong_answer,5,80,0.0625
ppo_checkpoint32,math500_level_2,verified_pass,5,80,0.0625
ppo_checkpoint32,math500_level_3,format_error,63,80,0.7875
ppo_checkpoint32,math500_level_3,parse_error,2,80,0.025
ppo_checkpoint32,math500_level_3,wrong_answer,15,80,0.1875
ppo_checkpoint32,math500_level_3,verified_pass,0,80,0.0
ppo_checkpoint32,math500_level_4,format_error,72,80,0.9
ppo_checkpoint32,math500_level_4,parse_error,0,80,0.0
ppo_checkpoint32,math500_level_4,wrong_answer,5,80,0.0625
ppo_checkpoint32,math500_level_4,verified_pass,3,80,0.0375
ppo_checkpoint32,math500_level_5,format_error,72,80,0.9
ppo_checkpoint32,math500_level_5,parse_error,0,80,0.0
ppo_checkpoint32,math500_level_5,wrong_answer,8,80,0.1
ppo_checkpoint32,math500_level_5,verified_pass,0,80,0.0
