update,generated_tokens,cumulative_generated_tokens,reward_mean,reward_std,reward_variance,format_accuracy,parseable_rate,canonical_pass_rate,accuracy_given_parseable,policy_loss,value_loss,total_loss,kl,ratio_mean,ratio_variance,clip_fraction,policy_entropy_mean,response_token_entropy_mean,response_token_entropy_mean_available,response_token_entropy_mean_reason,policy_entropy_std,policy_entropy_std_available,policy_entropy_std_reason,policy_grad_norm,policy_grad_norm_available,policy_grad_norm_reason,value_grad_norm,value_grad_norm_available,value_grad_norm_reason,learning_rate,completion_length_mean,completion_length_std,eos_rate,truncation_rate,unique_completion_rate,completion_duplicate_rate,zero_advantage_fraction,runtime_valid_answer_rate,runtime_valid_answer_rate_reliable,runtime_valid_answer_rate_reason
1,1588,1588,0.215625,0.3101001602305294,0.096162109375,0.5625,0.5625,0.125,0.2222222222222222,0.025859501212835312,5.404799461364746,0.56633944734931,0.0004086608241777867,0.9955171942710876,1.230596922141558e-06,0.00518252607434988,1.1066670417785645,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,1e-05,99.25,62.01360737773606,1.0,0.0,1.0,0.0,0.0,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
2,1720,3308,0.07187500000000001,0.08833308765689106,0.007802734375,0.25,0.25,0.0,0.0,0.02222594991326332,4.087178707122803,0.4309438206255436,0.0008428490255028009,0.9947460889816284,8.705073923920281e-07,0.005571833811700344,1.0901492834091187,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,9.6875e-06,107.5,48.228622207149975,1.0,0.0,1.0,0.0,0.25,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
3,1507,4815,0.34375,0.3868442031360946,0.1496484375,0.625,0.625,0.25,0.4,0.00040391646325588226,4.685901641845703,0.4689940806478262,0.0004203168791718781,0.9960388541221619,6.267117100833275e-07,0.004508535377681255,1.913795828819275,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,9.375000000000001e-06,94.1875,51.18620266976249,0.9375,0.0625,1.0,0.0,0.5,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
4,1504,6319,0.509375,0.4381134092618029,0.191943359375,0.75,0.75,0.4375,0.5833333333333334,-0.0025152061134576797,4.738748550415039,0.47135964892804627,0.0007767484639771283,0.9933071732521057,1.3313510862644762e-05,0.004082744009792805,1.4370014667510986,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,9.0625e-06,94.0,39.70831147253683,1.0,0.0,1.0,0.0,0.0,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
5,1466,7785,0.275,0.359687364248454,0.129375,0.625,0.625,0.1875,0.3,0.0035166111774742603,4.6766157150268555,0.4711781826801598,0.00039786609704606235,0.9955480694770813,8.45601505261584e-07,0.005366822704672813,1.411299705505371,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,8.750000000000001e-06,91.625,46.0636448297353,0.9375,0.0625,1.0,0.0,0.5,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
6,1410,9195,0.1125,0.24141509894784957,0.05828125,0.25,0.1875,0.0625,0.3333333333333333,0.0002592187374830246,4.472023963928223,0.4474616151303053,0.0006434272509068251,0.9936894774436951,6.074453153814829e-07,0.0006793478387407959,1.1008899211883545,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,8.4375e-06,88.125,39.1485552096115,1.0,0.0,1.0,0.0,0.25,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
7,1988,11183,0.14375,0.3278123510485839,0.1074609375,0.25,0.1875,0.125,0.6666666666666666,0.0072885537520051,3.5649654865264893,0.36378510240465406,0.0003897460992448032,0.9954644441604614,7.669837032153737e-07,0.003466543974354863,0.9692543745040894,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,8.125000000000001e-06,124.25,71.0057216004457,0.875,0.125,1.0,0.0,0.5,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
8,2285,13468,0.2125,0.3818131087325316,0.14578125,0.25,0.1875,0.1875,1.0,0.002476826310157776,3.837672472000122,0.38624407351017,0.0007468803087249398,0.9936014413833618,5.316451279213652e-06,0.004288733005523682,1.0960034132003784,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,7.8125e-06,142.8125,68.58682339742816,0.875,0.125,1.0,0.0,0.25,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
9,1535,15003,0.07500000000000001,0.082915619758885,0.006875000000000001,0.5,0.25,0.0,0.0,0.06563778966665268,4.8952317237854,0.5551609620451927,0.00046003787429071963,0.9954648017883301,4.400804300530581e-06,0.0005186722264625132,1.712127685546875,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,7.500000000000001e-06,95.9375,58.12536962248068,1.0,0.0,1.0,0.0,1.0,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
10,1252,16255,0.29375,0.4141538814257329,0.1715234375,0.375,0.375,0.25,0.6666666666666666,0.01003084983676672,4.417734622955322,0.451804312132299,0.00030121696181595325,0.996708333492279,2.2267051917879144e-06,0.0023303981870412827,1.679436206817627,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,7.1875e-06,78.25,48.847338719729656,1.0,0.0,1.0,0.0,0.25,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
