slice,metric,base,ppo,grpo,grpo_minus_base,grpo_minus_ppo
overall,sampled_pass_at_1,0.04,0.0375,0.07,0.030000000000000006,0.03250000000000001
overall,independent_pass_at_4,0.1,0.09,0.14,0.04000000000000001,0.05000000000000002
gsm8k,sampled_pass_at_1,0.035,0.025,0.06,0.024999999999999994,0.034999999999999996
gsm8k,independent_pass_at_4,0.1,0.08,0.18,0.07999999999999999,0.09999999999999999
math500,sampled_pass_at_1,0.045,0.05,0.08,0.035,0.03
math500,independent_pass_at_4,0.1,0.1,0.1,0.0,0.0
math500_level_1,sampled_pass_at_1,0.125,0.125,0.15,0.024999999999999994,0.024999999999999994
math500_level_1,independent_pass_at_4,0.2,0.2,0.2,0.0,0.0
math500_level_2,sampled_pass_at_1,0.1,0.1,0.175,0.07499999999999998,0.07499999999999998
math500_level_2,independent_pass_at_4,0.1,0.1,0.0,-0.1,-0.1
math500_level_3,sampled_pass_at_1,0.0,0.0,0.05,0.05,0.05
math500_level_3,independent_pass_at_4,0.1,0.0,0.1,0.0,0.1
math500_level_4,sampled_pass_at_1,0.0,0.025,0.025,0.025,0.0
math500_level_4,independent_pass_at_4,0.1,0.2,0.2,0.1,0.0
math500_level_5,sampled_pass_at_1,0.0,0.0,0.0,0.0,0.0
math500_level_5,independent_pass_at_4,0.0,0.0,0.0,0.0,0.0
