algorithm,update,cumulative_generated_tokens,reward_mean,format_accuracy,parseable_rate,canonical_pass_rate,entropy,zero_advantage_fraction,completion_length_mean,truncation_rate,loss,loss_comparable
ppo,1,1588.0,0.215625,0.5625,0.5625,0.125,1.1066670417785645,0.0,99.25,0.0,0.56633944734931,False
ppo,2,3308.0,0.07187500000000001,0.25,0.25,0.0,1.0901492834091187,0.25,107.5,0.0,0.4309438206255436,False
ppo,3,4815.0,0.34375,0.625,0.625,0.25,1.913795828819275,0.5,94.1875,0.0625,0.4689940806478262,False
ppo,4,6319.0,0.509375,0.75,0.75,0.4375,1.4370014667510986,0.0,94.0,0.0,0.47135964892804627,False
ppo,5,7785.0,0.275,0.625,0.625,0.1875,1.411299705505371,0.5,91.625,0.0625,0.4711781826801598,False
ppo,6,9195.0,0.1125,0.25,0.1875,0.0625,1.1008899211883545,0.25,88.125,0.0,0.4474616151303053,False
ppo,7,11183.0,0.14375,0.25,0.1875,0.125,0.9692543745040894,0.5,124.25,0.125,0.36378510240465406,False
ppo,8,13468.0,0.2125,0.25,0.1875,0.1875,1.0960034132003784,0.25,142.8125,0.125,0.38624407351017,False
ppo,9,15003.0,0.07500000000000001,0.5,0.25,0.0,1.712127685546875,1.0,95.9375,0.0,0.5551609620451927,False
ppo,10,16255.0,0.29375,0.375,0.375,0.25,1.679436206817627,0.25,78.25,0.0,0.451804312132299,False
ppo,11,17955.0,0.20625000000000002,0.5625,0.5,0.125,1.1392314434051514,0.0,106.25,0.0625,0.42587963417172436,False
ppo,12,18966.0,0.425,0.4375,0.4375,0.375,1.3057937622070312,0.25,63.1875,0.0,0.5942680388689041,False
ppo,13,20765.0,0.165625,0.5625,0.5,0.0625,1.8727107048034668,0.25,112.4375,0.125,0.5096095629036427,False
ppo,14,22194.0,0.234375,0.5625,0.5625,0.125,1.5606846809387207,0.5,89.3125,0.0,0.42502409368753435,False
ppo,15,23873.0,0.125,0.3125,0.3125,0.0625,1.4221101999282837,0.25,104.9375,0.0625,0.5305161446332931,False
ppo,16,25216.0,0.084375,0.375,0.375,0.0,1.6897468566894531,0.25,83.9375,0.0,0.49959249272942546,False
ppo,17,26982.0,0.153125,0.5625,0.25,0.0625,1.2994519472122192,0.0,110.375,0.0,0.4843147564679384,False
ppo,18,28797.0,0.325,0.375,0.375,0.3125,1.1655958890914917,0.5,113.4375,0.0,0.3978306632488966,False
ppo,19,31021.0,0.1875,0.75,0.4375,0.0625,0.740808367729187,0.0,139.0,0.0,0.4932457895018161,False
