slice,k,problem_denominator,mean,standard_error,bootstrap_95,candidate_denominator
overall,1,100,0.017,0.005135536717202728,"{'lower': 0.008, 'upper': 0.028000000000000004}",1000
overall,4,100,0.06033333333333333,0.017243844361109515,"{'lower': 0.028333333333333335, 'upper': 0.09666666666666666}",1000
overall,10,100,0.12,0.032659863237109045,"{'lower': 0.06, 'upper': 0.19}",1000
gsm8k,1,50,0.008,0.0038756171332144386,"{'lower': 0.002, 'upper': 0.016}",500
gsm8k,4,50,0.032,0.015502468532857755,"{'lower': 0.008, 'upper': 0.064}",500
gsm8k,10,50,0.08,0.03875617133214439,"{'lower': 0.02, 'upper': 0.16}",500
math,1,50,0.026000000000000002,0.009393875555870627,"{'lower': 0.01, 'upper': 0.046}",500
math,4,50,0.08866666666666667,0.030470386352070503,"{'lower': 0.034666666666666665, 'upper': 0.152}",500
math,10,50,0.16,0.05237229365663817,"{'lower': 0.06, 'upper': 0.26}",500
math_level_1,1,3,0.03333333333333333,0.03333333333333334,"{'lower': 0.0, 'upper': 0.10000000000000002}",30
math_level_1,4,3,0.13333333333333333,0.13333333333333336,"{'lower': 0.0, 'upper': 0.4000000000000001}",30
math_level_1,10,3,0.3333333333333333,0.3333333333333333,"{'lower': 0.0, 'upper': 1.0}",30
math_level_2,1,8,0.037500000000000006,0.02630521404045756,"{'lower': 0.0, 'upper': 0.08750000000000001}",80
math_level_2,4,8,0.13333333333333333,0.09085135251589957,"{'lower': 0.0, 'upper': 0.31666666666666665}",80
math_level_2,10,8,0.25,0.16366341767699427,"{'lower': 0.0, 'upper': 0.625}",80
math_level_3,1,10,0.04,0.03055050463303893,"{'lower': 0.0, 'upper': 0.1}",100
math_level_3,4,10,0.12333333333333334,0.08833857426800426,"{'lower': 0.0, 'upper': 0.29000000000000004}",100
math_level_3,10,10,0.2,0.13333333333333333,"{'lower': 0.0, 'upper': 0.5}",100
math_level_4,1,14,0.03571428571428571,0.01990952849669609,"{'lower': 0.0, 'upper': 0.07857142857142858}",140
math_level_4,4,14,0.12380952380952381,0.06770515077252467,"{'lower': 0.0, 'upper': 0.26666666666666666}",140
math_level_4,10,14,0.21428571428571427,0.1138039295450988,"{'lower': 0.0, 'upper': 0.42857142857142855}",140
math_level_5,1,15,0.0,0.0,"{'lower': 0.0, 'upper': 0.0}",150
math_level_5,4,15,0.0,0.0,"{'lower': 0.0, 'upper': 0.0}",150
math_level_5,10,15,0.0,0.0,"{'lower': 0.0, 'upper': 0.0}",150
