update,group_count,group_rewards,group_variances,nonzero_variance_group_count,nonzero_variance_group_fraction,zero_variance_group_count,zero_variance_group_fraction,all_zero_group_count,all_zero_group_fraction,all_equal_group_count,all_equal_group_fraction,zero_advantage_group_count,zero_advantage_group_fraction
1,4,"[[0.0, 0.1, 0.0, 0.2], [1.0, 0.0, 0.0, 0.0], [1.0, 1.0, 1.0, 1.0], [0.0, 0.2, 0.2, 0.2]]","[0.006875000000000001, 0.1875, 0.0, 0.007500000000000001]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
2,4,"[[0.0, 0.2, 1.0, 0.0], [0.0, 1.0, 0.0, 0.15], [1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 0.0, 1.0]]","[0.17, 0.17296875, 0.0, 0.1875]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
3,4,"[[0.2, 1.0, 0.0, 0.2], [0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0], [1.0, 1.0, 1.0, 1.0]]","[0.1475, 0.1875, 0.0, 0.0]",2,0.5,2,0.5,1,0.25,2,0.5,2,0.5
4,4,"[[0.0, 0.2, 0.2, 0.2], [1.0, 0.0, 0.2, 0.15], [0.2, 0.2, 0.15, 0.15], [1.0, 1.0, 1.0, 1.0]]","[0.007500000000000001, 0.15171875, 0.0006250000000000004, 0.0]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
5,4,"[[1.0, 0.15, 1.0, 1.0], [1.0, 1.0, 0.1, 1.0], [0.2, 0.2, 0.2, 0.2], [0.0, 0.0, 0.2, 0.15]]","[0.13546875, 0.151875, 0.0, 0.00796875]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
6,4,"[[0.15, 0.15, 0.0, 0.0], [0.05, 0.1, 0.0, 0.0], [0.1, 0.0, 0.1, 0.1], [0.0, 0.15, 0.0, 0.0]]","[0.005625, 0.0017187500000000002, 0.0018750000000000001, 0.004218749999999999]",4,1.0,0,0.0,0,0.0,0,0.0,0,0.0
7,4,"[[0.15, 0.0, 0.2, 0.2], [1.0, 0.15, 0.2, 0.2], [0.15, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[0.006718750000000001, 0.12546875, 0.004218749999999999, 0.1875]",4,1.0,0,0.0,0,0.0,0,0.0,0,0.0
8,4,"[[0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0], [1.0, 1.0, 0.2, 1.0], [1.0, 1.0, 0.2, 0.2]]","[0.1875, 0.0, 0.12, 0.16]",3,0.75,1,0.25,1,0.25,1,0.25,1,0.25
9,4,"[[0.2, 1.0, 0.2, 1.0], [1.0, 0.1, 0.1, 0.2], [0.0, 0.2, 0.2, 0.2], [1.0, 0.2, 1.0, 0.1]]","[0.16, 0.1425, 0.007500000000000001, 0.181875]",4,1.0,0,0.0,0,0.0,0,0.0,0,0.0
10,4,"[[0.0, 0.1, 0.1, 0.0], [0.05, 0.05, 0.0, 0.0], [1.0, 1.0, 1.0, 1.0], [0.0, 0.15, 0.15, 0.0]]","[0.0025000000000000005, 0.0006250000000000001, 0.0, 0.005625]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
11,4,"[[0.2, 0.1, 1.0, 1.0], [0.1, 1.0, 0.1, 1.0], [0.15, 1.0, 1.0, 1.0], [0.2, 0.0, 1.0, 0.0]]","[0.181875, 0.20249999999999999, 0.13546875, 0.17]",4,1.0,0,0.0,0,0.0,0,0.0,0,0.0
12,4,"[[0.1, 0.0, 1.0, 0.1], [0.2, 1.0, 0.2, 0.2], [1.0, 1.0, 1.0, 1.0], [0.2, 1.0, 0.2, 1.0]]","[0.165, 0.12, 0.0, 0.16]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
13,4,"[[0.2, 0.0, 0.2, 0.2], [0.2, 0.2, 0.2, 0.2], [1.0, 1.0, 1.0, 0.2], [0.2, 0.2, 0.2, 0.2]]","[0.007500000000000001, 0.0, 0.12, 0.0]",2,0.5,2,0.5,0,0.0,2,0.5,2,0.5
14,4,"[[0.2, 0.2, 1.0, 1.0], [0.1, 1.0, 0.1, 0.1], [0.2, 1.0, 1.0, 0.2], [1.0, 1.0, 0.2, 1.0]]","[0.16, 0.151875, 0.16, 0.12]",4,1.0,0,0.0,0,0.0,0,0.0,0,0.0
15,4,"[[0.0, 1.0, 0.0, 0.0], [0.15, 0.2, 0.0, 0.2], [1.0, 1.0, 1.0, 1.0], [0.2, 0.0, 1.0, 0.2]]","[0.1875, 0.006718750000000001, 0.0, 0.1475]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
16,4,"[[0.1, 0.1, 0.2, 0.1], [0.2, 1.0, 1.0, 0.2], [1.0, 1.0, 1.0, 1.0], [1.0, 0.0, 0.2, 0.15]]","[0.0018750000000000001, 0.16, 0.0, 0.15171875]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
17,4,"[[0.2, 0.1, 0.2, 0.0], [1.0, 0.1, 1.0, 1.0], [0.1, 1.0, 1.0, 1.0], [0.2, 0.0, 0.0, 0.2]]","[0.006875000000000001, 0.151875, 0.151875, 0.010000000000000002]",4,1.0,0,0.0,0,0.0,0,0.0,0,0.0
18,4,"[[1.0, 0.1, 0.1, 0.1], [0.2, 0.2, 1.0, 0.2], [0.0, 0.2, 0.0, 0.15], [1.0, 1.0, 1.0, 0.2]]","[0.151875, 0.12, 0.00796875, 0.12]",4,1.0,0,0.0,0,0.0,0,0.0,0,0.0
19,4,"[[0.2, 1.0, 1.0, 1.0], [1.0, 0.0, 0.0, 1.0], [0.2, 0.2, 0.2, 0.2], [0.2, 1.0, 0.2, 1.0]]","[0.12, 0.25, 0.0, 0.16]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
20,4,"[[0.2, 1.0, 0.2, 0.1], [0.2, 0.2, 0.2, 0.1], [0.2, 0.2, 0.2, 0.2], [0.0, 1.0, 1.0, 0.2]]","[0.131875, 0.0018750000000000001, 0.0, 0.2075]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
21,4,"[[0.2, 0.0, 0.2, 0.0], [0.0, 1.0, 0.0, 0.2], [0.05, 0.1, 0.1, 0.05], [0.2, 0.15, 0.2, 0.2]]","[0.010000000000000002, 0.17, 0.0006250000000000001, 0.0004687500000000003]",4,1.0,0,0.0,0,0.0,0,0.0,0,0.0
