phase,checkpoint_step,status,count,denominator,rate
dev,32,format_error,64,128,0.5
dev,32,parse_error,7,128,0.0546875
dev,32,verified_pass,23,128,0.1796875
dev,32,wrong_answer,34,128,0.265625
dev,64,format_error,48,128,0.375
dev,64,parse_error,11,128,0.0859375
dev,64,verified_pass,27,128,0.2109375
dev,64,wrong_answer,42,128,0.328125
dev,96,format_error,35,128,0.2734375
dev,96,parse_error,14,128,0.109375
dev,96,verified_pass,33,128,0.2578125
dev,96,wrong_answer,46,128,0.359375
dev,128,format_error,32,128,0.25
dev,128,parse_error,12,128,0.09375
dev,128,verified_pass,28,128,0.21875
dev,128,wrong_answer,56,128,0.4375
training,,format_error,320,2048,0.15625
training,,parse_error,183,2048,0.08935546875
training,,verified_pass,571,2048,0.27880859375
training,,wrong_answer,974,2048,0.4755859375
