update,optimizer_step,global_step,microsteps,cumulative_completions,generated_tokens,cumulative_generated_tokens,reward_mean,reward_std,reward_variance,canonical_pass_rate,format_accuracy,valid_answer_rate,parseable_rate,loss,total_loss,entropy,entropy_raw_metric_key,grad_norm,grad_norm_available,learning_rate,kl,kl_available,kl_unavailable_reason,ratio_mean,ratio_available,ratio_reason,ratio_variance,ratio_variance_available,ratio_variance_reason,clip_fraction,clip_fraction_available,clip_fraction_raw_key,completion_length_mean,eos_rate,truncation_rate,completion_duplicate_rate,unique_completion_rate,zero_advantage_group_count,zero_advantage_fraction
1,1,1,4,16,1331,1331,0.36875,0.4326065620168053,0.1871484375,0.3125,0.625,0.5625,0.5625,-0.0306,-0.0306,0.29409221559762955,entropy,0.554767906665802,True,1e-05,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,83.1875,1.0,0.0,0.0,1.0,1,0.25
2,2,2,8,32,1044,2375,0.584375,0.4742489951228152,0.224912109375,0.5625,0.625,0.6875,0.625,-0.1859,-0.1859,0.19868578389286995,entropy,0.7505707740783691,True,9.921875e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,65.25,1.0,0.0,0.0,1.0,1,0.25
3,3,3,12,48,1138,3513,0.4,0.469041575982343,0.22,0.375,0.5,0.5,0.5,-0.0194,-0.0194,0.23288490250706673,entropy,0.4804767966270447,True,9.84375e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,71.125,1.0,0.0,0.0,1.0,2,0.5
4,4,4,16,64,1522,5035,0.415625,0.3987162015456608,0.158974609375,0.3125,0.6875,0.875,0.6875,0.0169,0.0169,0.2567790113389492,entropy,0.4521779716014862,True,9.765625e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,95.125,1.0,0.0,0.0,1.0,1,0.25
5,5,5,20,80,1393,6428,0.4625,0.42075081699267086,0.17703125,0.375,0.75,0.8125,0.6875,-0.053,-0.053,0.22524310648441315,entropy,0.4000642001628876,True,9.6875e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,87.0625,1.0,0.0,0.0,1.0,1,0.25
6,6,6,24,96,1155,7583,0.05625,0.06091746465505602,0.0037109375,0.0,0.25,0.1875,0.0,-0.0099,-0.0099,0.296884261071682,entropy,0.758707582950592,True,9.609375000000001e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,72.1875,1.0,0.0,0.0,1.0,0,0.0
7,7,7,28,112,1516,9099,0.203125,0.3129840001901056,0.097958984375,0.125,0.375,0.5625,0.375,-0.0114,-0.0114,0.24560227617621422,entropy,0.3696078062057495,True,9.531250000000001e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,94.75,1.0,0.0,0.0,1.0,0,0.0
8,8,8,32,128,1086,10185,0.4125,0.46080771477916904,0.21234375,0.375,0.5625,0.5625,0.5625,-0.1498,-0.1498,0.2051602154970169,entropy,0.4489578604698181,True,9.453125000000001e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,67.875,1.0,0.0,0.0,1.0,1,0.25
9,9,9,36,144,1891,12076,0.41875,0.39563043045246155,0.1565234375,0.3125,0.9375,0.75,0.75,-0.0314,-0.0314,0.19781078770756721,entropy,0.34451791644096375,True,9.375000000000001e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,118.1875,1.0,0.0,0.0,1.0,0,0.0
10,10,10,40,160,1428,13504,0.2875,0.4143896113562694,0.17171875,0.25,0.375,0.375,0.25,-0.0236,-0.0236,0.2164556384086609,entropy,0.9722384810447693,True,9.296875e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,89.25,0.9375,0.0625,0.0,1.0,1,0.25
