entry,category,measurement_scope,gpu_hours,cost_cny,available,included_in_minimum_confirmed_total,included_in_full_instance_total,overlap_note,source,notes
warmstart_grpo_v2_seed42_20260722T051218Z,scientific_success_training,full_command_or_run_telemetry,0.004256687230534024,0.037799382607142135,True,True,True,none,reports/grpo_v2/run_registry.csv,Warm-start full command.
base_dev_grpo_v2_seed42_20260722T060500Z,dev_evaluation,full_command_or_run_telemetry,0.07514720189178156,0.6673071527990203,True,True,True,none,reports/grpo_v2/run_registry.csv,Matched Base dev-v2 evaluation.
warmstart_dev_grpo_v2_seed42_20260722T060500Z,dev_evaluation,full_command_or_run_telemetry,0.10909049191201727,0.9687235681787134,True,True,True,none,reports/grpo_v2/run_registry.csv,Matched warm-start dev-v2 evaluation.
grpo_v2_seed42_20260726T030733Z,engineering_failure,full_command_or_run_telemetry,0.0005802716997762521,0.005152812694013119,True,True,True,none,reports/grpo_v2/run_registry.csv,Zero-update prompt-capacity failure.
grpo_v2_seed42_20260726T034649Z,engineering_failure,full_command_or_run_telemetry,0.001071900927151243,0.009518480233103038,True,True,True,none,reports/grpo_v2/run_registry.csv,Zero-update lazy-optimizer audit failure.
grpo_v2_seed42_20260726T044303Z_training_only,scientific_success_training,training_telemetry_only,0.29549865703098477,2.624028074435145,True,True,False,overlaps_full_launcher_scope,reports/grpo_v2/grpo_v2_training/grpo_v2_seed42_20260726T044303Z/summary.json,GRPO-v2 training only; dev and IPC wait excluded.
grpo_v2_seed42_20260726T044303Z_full_launcher,instance_occupancy,launch_to_manual_release,1.3958333333333333,12.395,True,False,True,contains_training_checkpoint_dev_finalization_and_ipc_wait,reports/grpo_v2/grpo_v2_training/grpo_v2_seed42_20260726T044303Z/post_worker_gpu_release_manual.json,"Includes training, checkpoint dev, finalization and IPC wait; components cannot be separated exactly."
base_hidden_grpo_v2_seed42_20260728T073339Z,hidden_test_evaluation,model_hidden_evaluation,0.3579238269757479,3.178363583544642,True,True,True,none,reports/grpo_v2/hidden_test_final/four_model_summary.csv,Frozen hidden evaluation for Base.
old_grpo_v1_hidden_grpo_v2_seed42_20260728T083153Z,hidden_test_evaluation,model_hidden_evaluation,0.5543451084227612,4.922584562794119,True,True,True,none,reports/grpo_v2/hidden_test_final/four_model_summary.csv,Frozen hidden evaluation for Old GRPO-v1.
warmstart_only_hidden_grpo_v2_seed42_20260728T083153Z,hidden_test_evaluation,model_hidden_evaluation,0.5325709446188477,4.729229988215367,True,True,True,none,reports/grpo_v2/hidden_test_final/four_model_summary.csv,Frozen hidden evaluation for Warm-start-only.
selected_grpo_v2_hidden_grpo_v2_seed42_20260728T083153Z,hidden_test_evaluation,model_hidden_evaluation,0.5354457520776325,4.754758278449376,True,True,True,none,reports/grpo_v2/hidden_test_final/four_model_summary.csv,Frozen hidden evaluation for Selected GRPO-v2.
grpo_v2_checkpoint_dev_only,dev_evaluation,four_checkpoint_dev_runs,,,False,False,False,included_in_full_launcher_but_not_separately_measured,reports/grpo_v2/grpo_v2_training/grpo_v2_seed42_20260726T044303Z/summary.json,Unavailable: per-checkpoint dev GPU telemetry was not persisted.
grpo_v2_ipc_idle_only,ipc_idle_instance_cost,post_finalization_ipc_wait,,,False,False,False,included_in_full_launcher_but_not_separately_measured,reports/grpo_v2/grpo_v2_training/grpo_v2_seed42_20260726T044303Z/post_worker_gpu_release_manual.json,"Unavailable: full launcher wall combines dev, finalization and IPC wait."
