run_id,stage,seed,status,completed_samples,expected_samples,optimizer_steps,microsteps,completion_count,generated_tokens,checkpoint_step,checkpoint_artifact_sha256,gpu_hours,cost_cny,included_in_scientific_analysis,failure_reason,artifact_path,backup_sha256
warmstart_grpo_v2_seed42_20260722T051218Z,warmstart_training,42,scientific_training_success,256,256,16,64,0,0,16,507749d393f38690915a76228b4c53a8b5c8927d40aada9f2768a90334d892f0,0.004256687230534024,0.037799382607142135,True,,reports/grpo_v2/warmstart/warmstart_grpo_v2_seed42_20260722T051218Z,5f0287e4e30f94cb45645fb7f12eec728ea74be68195e3fa8d6904adca85b97e
,base_dev_v2,42,not_executed_evaluator_unavailable,0,128,0,0,0,0,,,0,0,False,no_frozen_model_bound_dev_v2_evaluator_or_cli_exists_at_authorized_HEAD,reports/grpo_v2/dev_evaluation/stage_p_status.json,
,warmstart_dev_v2,42,not_executed_evaluator_unavailable,0,128,0,0,0,0,16,507749d393f38690915a76228b4c53a8b5c8927d40aada9f2768a90334d892f0,0,0,False,no_frozen_model_bound_dev_v2_evaluator_or_cli_exists_at_authorized_HEAD,reports/grpo_v2/dev_evaluation/stage_p_status.json,
base_dev_grpo_v2_seed42_20260722T060500Z,base_dev_v2,42,scientific_evaluation_success,128,128,0,0,128,12949,,,0.07514720189178156,0.6673071527990203,True,,reports/grpo_v2/dev_evaluation/base,95e7f227ad550e3e2e532a32686a2a0ae0e71531d95ccf41f8e803b882ed85a8
warmstart_dev_grpo_v2_seed42_20260722T060500Z,warmstart_dev_v2,42,scientific_evaluation_success,128,128,0,0,128,13176,16,507749d393f38690915a76228b4c53a8b5c8927d40aada9f2768a90334d892f0,0.10909049191201727,0.9687235681787134,True,,reports/grpo_v2/dev_evaluation/warmstart,f784b6af209e0851451c31fa4ff597ea71f67c1e34868faaeb46c67aceefcdc9
,grpo_v2_training,42,not_run_runtime_frozen_awaiting_authorization,0,512,0,0,0,0,,,0,0,False,explicit_GPU_authorization_required,reports/grpo_v2/stage_q_runtime_freeze.json,
grpo_v2_seed42_20260726T030733Z,grpo_v2_training,42,engineering_failure_before_training_prompt_capacity_mismatch,0,512,0,0,0,0,,,0.0005802716997762521,0.005152812694013119,False,frozen_prompt_914_exceeds_grpo_max_prompt_length_832,reports/grpo_v2/grpo_v2_training/grpo_v2_seed42_20260726T030733Z,3fa2cbb730c5a72faa83cd35172873ce367537e19fc705d890c8d9bce4748fb8
stage_r1_prompt_capacity_audit,grpo_v2_capacity_reconciliation,42,cpu_validated_not_run,640,640,0,0,0,0,,,0,0,False,,reports/grpo_v2/prompt_capacity_amendment.md,

grpo_v2_seed42_20260726T034649Z,grpo_v2_training,42,engineering_failure_before_training_optimizer_state_uninitialized,0,512,0,0,0,0,,,0.001071900927151243,0.009518480233103038,False,trainer_optimizer_none_during_fresh_state_audit,reports/grpo_v2/grpo_v2_training/grpo_v2_seed42_20260726T034649Z,7c4a7c367723c47c13d0b3d4f4810478196716f69a39f4c27761ef88a28d1f50
