optimizer_step,global_step,scheduler_step,epoch_progress,microsteps,step_samples,cumulative_samples,step_supervised_tokens,cumulative_supervised_tokens,loss,learning_rate,grad_norm,grad_norm_available,grad_norm_reason,supervised_tokens_per_second,samples_per_second,elapsed_seconds,estimated_remaining_seconds,reward_value,reward_available,reward_reason,entropy_value,entropy_available,entropy_reason,kl_value,kl_available,kl_reason,canonical_pass_value,canonical_pass_available,canonical_pass_reason,advantage_value,advantage_available,advantage_reason,value_loss_value,value_loss_available,value_loss_reason,pytorch_allocator_available,pytorch_allocator_reason
1,1,1,0.0625,4,16,16,2446,2446,2.2638,1e-05,4.989503860473633,True,,864.1828047269457,5.652871985131288,2.830419659614563,42.456294894218445,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,False,runtime_did_not_persist_step_allocator_metrics
2,2,2,0.125,8,16,32,2185,4631,2.7923,9.375000000000001e-06,5.013623237609863,True,,1335.7367315789102,9.229880244121167,3.467000562697649,24.269003938883543,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,False,runtime_did_not_persist_step_allocator_metrics
3,3,3,0.1875,12,16,48,2142,6773,2.3843,8.750000000000001e-06,5.139089584350586,True,,1687.468781442229,11.959028718326739,4.013703882694244,17.392716825008392,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,False,runtime_did_not_persist_step_allocator_metrics
4,4,4,0.25,16,16,64,2027,8800,2.9399,8.125000000000001e-06,5.824207782745361,True,,1925.7836885066245,14.00569955277545,4.569568250328302,13.708704750984907,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,False,runtime_did_not_persist_step_allocator_metrics
5,5,5,0.3125,20,16,80,2007,10807,2.8032,7.500000000000001e-06,5.375605583190918,True,,2117.090716399759,15.671995679835357,5.104646634310484,11.230222595483063,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,False,runtime_did_not_persist_step_allocator_metrics
6,6,6,0.375,24,16,96,2410,13217,2.1602,6.875e-06,4.627992630004883,True,,2347.5875970367765,17.05140420031252,5.630034856498241,9.383391427497068,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,False,runtime_did_not_persist_step_allocator_metrics
7,7,7,0.4375,28,16,112,1961,15178,2.4165,6.25e-06,5.47633695602417,True,,2466.1926255800263,18.19828528560831,6.154425993561745,7.912833420293671,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,False,runtime_did_not_persist_step_allocator_metrics
8,8,8,0.5,32,16,128,2240,17418,2.5451,5.625e-06,4.947051525115967,True,,2606.3887675401725,19.15362052159502,6.682809647172689,6.682809647172689,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,False,runtime_did_not_persist_step_allocator_metrics
9,9,9,0.5625,36,16,144,2362,19780,2.5228,5e-06,5.2732625007629395,True,,2748.7649715719904,20.01123134005898,7.195958986878395,5.596856989794308,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,False,runtime_did_not_persist_step_allocator_metrics
10,10,10,0.625,40,16,160,2958,22738,2.6625,4.3750000000000005e-06,4.970184326171875,True,,2921.8145354119692,20.55987007062693,7.782150346785784,4.6692902080714696,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,False,runtime_did_not_persist_step_allocator_metrics
11,11,11,0.6875,44,16,176,3274,26012,2.1345,3.7500000000000005e-06,4.318344593048096,True,,3115.014664995717,21.07652548974497,8.350522484630346,3.795692038468339,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,False,runtime_did_not_persist_step_allocator_metrics
12,12,12,0.75,48,16,192,3704,29716,2.0183,3.125e-06,3.706855297088623,True,,3352.6315590811555,21.661908040906642,8.863485138863325,2.954495046287775,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,False,runtime_did_not_persist_step_allocator_metrics
13,13,13,0.8125,52,16,208,3388,33104,2.1957,2.5e-06,4.026958465576172,True,,3529.3702688616486,22.17584025867638,9.379576943814754,2.1645177562649436,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,False,runtime_did_not_persist_step_allocator_metrics
14,14,14,0.875,56,16,224,4542,37646,1.7295,1.8750000000000003e-06,2.87959885597229,True,,3784.128987661966,22.516200744734647,9.948392383754253,1.4211989119648933,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,False,runtime_did_not_persist_step_allocator_metrics
15,15,15,0.9375,60,16,240,3770,41416,1.9411,1.25e-06,3.628744602203369,True,,3952.2954548690336,22.903006305982423,10.478973668068647,0.6985982445379099,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,False,runtime_did_not_persist_step_allocator_metrics
16,16,16,1.0,64,16,256,4642,46058,1.91,6.25e-07,3.0663318634033203,True,,4171.971227610687,23.18868891980407,11.039865206927061,0.0,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,,False,not_a_native_sft_metric,False,runtime_did_not_persist_step_allocator_metrics
