algorithm,metric,seed_42,seed_123,seed_2026,mean,sample_std,available_seeds
ppo,pass_at_1,0.0,0.0,0.0,0.0,0.0,3
ppo,pass_at_4,0.0,0.0,0.0,0.0,0.0,3
ppo,format_accuracy,0.125,0.1875,0.0,0.10416666666666667,0.09547032697824667,3
ppo,valid_expression_rate,0.375,0.5,0.6875,0.5208333333333334,0.15728821740147395,3
ppo,number_usage_accuracy,0.125,0.1875,0.25,0.1875,0.0625,3
ppo,reward_mean,0.078125,0.09375,0.09375,0.08854166666666667,0.009021097956087902,3
ppo,reward_std_population,0.03940475066537028,0.03903123748998998,0.04284784125250652,0.040427943135955595,0.002103998144939939,3
ppo,mean_group_reward_variance,0.0012890625,0.0013281249999999999,0.00140625,0.0013411458333333333,5.9668954361404125e-05,3
ppo,zero_advantage_groups,0,1,0,0.3333333333333333,0.5773502691896257,3
ppo,loss,0.0406283400952816,0.012560875155031681,-0.019591178745031357,0.011199345501760641,0.030132838143581066,3
ppo,policy_loss,0.0406283400952816,0.012560875155031681,-0.019591178745031357,0.011199345501760641,0.030132838143581066,3
ppo,value_loss,6.805111885070801,3.9441425800323486,11.300457000732422,7.34990382194519,3.708293294079161,3
ppo,grad_norm,,,,,,0
ppo,entropy,0.2690500020980835,0.17659686505794525,0.14682693779468536,0.1974912683169047,0.06373422493126563,3
ppo,kl,0.5889581441879272,0.6488973498344421,0.4064469337463379,0.5481008092562357,0.12628357941004853,3
ppo,generated_tokens,574,565,512,550.3333333333334,33.50124375800596,3
ppo,wall_time_seconds,17.90550632402301,15.237111125141382,16.28056151419878,16.474392987787724,1.3447160348820395,3
ppo,peak_vram_mib,11189.0,10015.0,11189.0,10797.666666666666,677.8092160286207,3
ppo,gpu_hours,0.004973751756673058,0.004232530868094829,0.00452237819838855,0.0045762202743854785,0.00037353223191167746,3
ppo,cost_cny,0.044166915599256756,0.03758487410868208,0.04015871840169033,0.040636836036543056,0.0033169662193756957,3
ppo,checkpoint_size_bytes,10880009,10880009,10880009,10880009.0,0.0,3
grpo,pass_at_1,0.0,0.0,0.0,0.0,0.0,3
grpo,pass_at_4,0.0,0.0,0.0,0.0,0.0,3
grpo,format_accuracy,0.1875,0.25,0.0625,0.16666666666666666,0.09547032697824667,3
grpo,valid_expression_rate,0.375,0.375,0.5625,0.4375,0.10825317547305482,3
grpo,number_usage_accuracy,0.0625,0.125,0.125,0.10416666666666667,0.03608439182435161,3
grpo,reward_mean,0.078125,0.084375,0.078125,0.08020833333333334,0.0036084391824351644,3
grpo,reward_std_population,0.03940475066537028,0.03840064289826409,0.04990224819584785,0.0425692139198274,0.006370408297115558,3
grpo,mean_group_reward_variance,0.0014453125,0.0012109375,0.0021484374999999997,0.0016015625,0.00048789046862487474,3
grpo,zero_advantage_groups,0,0,0,0.0,0.0,3
grpo,loss,0.30371785163879395,0.21626996994018555,0.46345794200897217,0.3278152545293172,0.12534347611033037,3
grpo,policy_loss,,,,,,0
grpo,value_loss,,,,,,0
grpo,grad_norm,1.9378588199615479,1.620953917503357,2.6247079372406006,2.0611735582351685,0.5131134636133488,3
grpo,entropy,0.4157172292470932,0.42529723793268204,0.47891663014888763,0.4399770324428876,0.03406117061600834,3
grpo,kl,,,,,,0
grpo,generated_tokens,545,724,703,657.3333333333334,97.84852238707201,3
grpo,wall_time_seconds,11.34254403039813,11.050494410097599,11.458571776747704,11.283870072414478,0.21027068103309493,3
grpo,peak_vram_mib,3301.0,3301.0,3301.0,3301.0,0.0,3
grpo,gpu_hours,0.0031507066751105916,0.0030695817805826663,0.00318293660465214,0.0031344083534484662,5.8408522509193106e-05,3
grpo,cost_cny,0.027978275274982055,0.02725788621157408,0.028264477049311,0.027833546178622378,0.0005186676798816318,3
grpo,checkpoint_size_bytes,24570925,24570948,24570929,24570934.0,12.288205727444508,3
