position,problem_id,generation_index,pair_key,ppo_expected_occurrences,grpo_expected_occurrences
0,countdown:train:0,0,countdown:train:0::generation:0,1,1
1,countdown:train:0,1,countdown:train:0::generation:1,1,1
2,countdown:train:0,2,countdown:train:0::generation:2,1,1
3,countdown:train:0,3,countdown:train:0::generation:3,1,1
4,countdown:train:1,0,countdown:train:1::generation:0,1,1
5,countdown:train:1,1,countdown:train:1::generation:1,1,1
6,countdown:train:1,2,countdown:train:1::generation:2,1,1
7,countdown:train:1,3,countdown:train:1::generation:3,1,1
8,countdown:train:2,0,countdown:train:2::generation:0,1,1
9,countdown:train:2,1,countdown:train:2::generation:1,1,1
10,countdown:train:2,2,countdown:train:2::generation:2,1,1
11,countdown:train:2,3,countdown:train:2::generation:3,1,1
12,countdown:train:3,0,countdown:train:3::generation:0,1,1
13,countdown:train:3,1,countdown:train:3::generation:1,1,1
14,countdown:train:3,2,countdown:train:3::generation:2,1,1
15,countdown:train:3,3,countdown:train:3::generation:3,1,1
