episode_position,problem_id,generation_index,pair_key,problem_hash,rendered_prompt_hash,seed_scope,algorithm
0,countdown:train:0,0,countdown:train:0::generation:0,01e0ce7fa24575224e9f3b783f7a261e8b612e0b694189926623fdb11bb56e78,7fda8e89682e4bf20afa30a2637430ae2975b83412ba12560dbc509978828f61,42|123|2026,ppo
1,countdown:train:0,1,countdown:train:0::generation:1,01e0ce7fa24575224e9f3b783f7a261e8b612e0b694189926623fdb11bb56e78,7fda8e89682e4bf20afa30a2637430ae2975b83412ba12560dbc509978828f61,42|123|2026,ppo
2,countdown:train:0,2,countdown:train:0::generation:2,01e0ce7fa24575224e9f3b783f7a261e8b612e0b694189926623fdb11bb56e78,7fda8e89682e4bf20afa30a2637430ae2975b83412ba12560dbc509978828f61,42|123|2026,ppo
3,countdown:train:0,3,countdown:train:0::generation:3,01e0ce7fa24575224e9f3b783f7a261e8b612e0b694189926623fdb11bb56e78,7fda8e89682e4bf20afa30a2637430ae2975b83412ba12560dbc509978828f61,42|123|2026,ppo
4,countdown:train:1,0,countdown:train:1::generation:0,f821b229fade9af5e7364052ae666f7034b1f7231d715d40442cb8c33f1fe954,e325f3cc16f257408be6497e46d9bee64107dd63c9f1ce3af501d8d8a5be4cea,42|123|2026,ppo
5,countdown:train:1,1,countdown:train:1::generation:1,f821b229fade9af5e7364052ae666f7034b1f7231d715d40442cb8c33f1fe954,e325f3cc16f257408be6497e46d9bee64107dd63c9f1ce3af501d8d8a5be4cea,42|123|2026,ppo
6,countdown:train:1,2,countdown:train:1::generation:2,f821b229fade9af5e7364052ae666f7034b1f7231d715d40442cb8c33f1fe954,e325f3cc16f257408be6497e46d9bee64107dd63c9f1ce3af501d8d8a5be4cea,42|123|2026,ppo
7,countdown:train:1,3,countdown:train:1::generation:3,f821b229fade9af5e7364052ae666f7034b1f7231d715d40442cb8c33f1fe954,e325f3cc16f257408be6497e46d9bee64107dd63c9f1ce3af501d8d8a5be4cea,42|123|2026,ppo
8,countdown:train:2,0,countdown:train:2::generation:0,289441be43e26ceb6cb26150307a84e9031706bda1e11a11ba7b85544512a70a,83977d8fc40c62ffd6c2b27b40ee824cb77af06576f5c6dbcb003727faf7a8c4,42|123|2026,ppo
9,countdown:train:2,1,countdown:train:2::generation:1,289441be43e26ceb6cb26150307a84e9031706bda1e11a11ba7b85544512a70a,83977d8fc40c62ffd6c2b27b40ee824cb77af06576f5c6dbcb003727faf7a8c4,42|123|2026,ppo
10,countdown:train:2,2,countdown:train:2::generation:2,289441be43e26ceb6cb26150307a84e9031706bda1e11a11ba7b85544512a70a,83977d8fc40c62ffd6c2b27b40ee824cb77af06576f5c6dbcb003727faf7a8c4,42|123|2026,ppo
11,countdown:train:2,3,countdown:train:2::generation:3,289441be43e26ceb6cb26150307a84e9031706bda1e11a11ba7b85544512a70a,83977d8fc40c62ffd6c2b27b40ee824cb77af06576f5c6dbcb003727faf7a8c4,42|123|2026,ppo
12,countdown:train:3,0,countdown:train:3::generation:0,3e2f5fb7034152df518679391e598987b8d4e2b76f6768c8d4bb504c61c34ee5,7b4dec01d6e50be7f84b469e934e875649ceec6a56b467403d9dc3fd49ffce12,42|123|2026,ppo
13,countdown:train:3,1,countdown:train:3::generation:1,3e2f5fb7034152df518679391e598987b8d4e2b76f6768c8d4bb504c61c34ee5,7b4dec01d6e50be7f84b469e934e875649ceec6a56b467403d9dc3fd49ffce12,42|123|2026,ppo
14,countdown:train:3,2,countdown:train:3::generation:2,3e2f5fb7034152df518679391e598987b8d4e2b76f6768c8d4bb504c61c34ee5,7b4dec01d6e50be7f84b469e934e875649ceec6a56b467403d9dc3fd49ffce12,42|123|2026,ppo
15,countdown:train:3,3,countdown:train:3::generation:3,3e2f5fb7034152df518679391e598987b8d4e2b76f6768c8d4bb504c61c34ee5,7b4dec01d6e50be7f84b469e934e875649ceec6a56b467403d9dc3fd49ffce12,42|123|2026,ppo
