timestamp,gpu_memory_used_mb,gpu_utilization_pct,power_draw_w,temperature_c,process_rss_mb,elapsed_seconds
2026-07-18T11:37:51.303995+00:00,0.0,0.0,49.63,33.0,20.96875,0.057081274688243866
2026-07-18T11:37:51.878614+00:00,0.0,0.0,49.67,33.0,436.45703125,0.6317104287445545
2026-07-18T11:37:52.082986+00:00,0.0,0.0,49.68,33.0,458.27734375,0.8360775336623192
2026-07-18T11:37:52.333700+00:00,0.0,0.0,49.7,33.0,476.81640625,1.0867928974330425
2026-07-18T11:37:52.638134+00:00,0.0,0.0,49.67,33.0,491.171875,1.3912263214588165
2026-07-18T11:37:52.816673+00:00,0.0,0.0,49.67,33.0,502.2734375,1.569761648774147
2026-07-18T11:37:53.103721+00:00,0.0,0.0,49.66,33.0,511.29296875,1.8568118773400784
2026-07-18T11:37:53.349309+00:00,0.0,0.0,49.64,33.0,513.21875,2.1023993343114853
2026-07-18T11:37:53.589830+00:00,0.0,0.0,49.64,33.0,514.2421875,2.342923916876316
2026-07-18T11:37:53.845358+00:00,0.0,0.0,49.63,33.0,530.67578125,2.59844983369112
2026-07-18T11:37:54.107840+00:00,0.0,0.0,49.63,33.0,553.25,2.860932357609272
2026-07-18T11:37:54.371276+00:00,0.0,0.0,49.65,33.0,615.8125,3.124365769326687
2026-07-18T11:37:54.602075+00:00,0.0,0.0,49.65,33.0,635.54296875,3.3551683202385902
2026-07-18T11:37:55.043662+00:00,20.0,0.0,50.71,33.0,761.9375,3.796752542257309
2026-07-18T11:37:55.384074+00:00,459.0,0.0,65.06,34.0,824.40234375,4.137166332453489
2026-07-18T11:37:55.613127+00:00,459.0,0.0,71.86,34.0,833.48046875,4.366211645305157
2026-07-18T11:37:55.881871+00:00,1069.0,7.0,80.45,34.0,1464.55859375,4.634957246482372
2026-07-18T11:37:56.133422+00:00,1865.0,7.0,81.11,34.0,2185.8203125,4.886510409414768
2026-07-18T11:37:56.403305+00:00,2739.0,7.0,81.15,34.0,2986.4453125,5.156392212957144
2026-07-18T11:37:56.628988+00:00,3451.0,7.0,81.21,34.0,3651.1953125,5.38207096233964
2026-07-18T11:37:56.988241+00:00,3673.0,1.0,81.2,34.0,941.62109375,5.741328317672014
2026-07-18T11:37:57.196858+00:00,3775.0,0.0,81.12,34.0,1167.79296875,5.949944581836462
2026-07-18T11:37:57.426545+00:00,3915.0,8.0,82.26,35.0,1348.890625,6.179631367325783
2026-07-18T11:37:57.695639+00:00,639.0,9.0,82.92,34.0,1349.05859375,6.448725808411837
