metric,value,unit,available,source
unique_prompts,2,count,true,summary.json
completions,8,count,true,summary.json
generated_tokens,276,tokens,true,summary.json
microsteps,4,count,true,summary.json
optimizer_steps,1,count,true,summary.json
global_step,1,count,true,summary.json
loss,0.0,scalar,true,trainer_log_history.json
grad_norm,0.0,scalar,true,trainer_log_history.json
entropy,0.5070152431726456,scalar,true,trainer_log_history.json
learning_rate,0.00001,scalar,true,trainer_log_history.json
reward_mean,0.0,scalar,true,trainer_log_history.json
reward_std,0.0,scalar,true,trainer_log_history.json
zero_advantage_fraction,1.0,fraction,true,trainer_log_history.json
kl,,scalar,false,trainer_metrics.json
pytorch_peak_allocated,1501.54931640625,MiB,true,pytorch_allocator.json
pytorch_peak_reserved,1936.0,MiB,true,pytorch_allocator.json
nvidia_smi_peak,,MiB,false,gpu_metrics.csv
wall_time,10.567161472514272,seconds,true,summary.json
gpu_hours,0.0029353226312539645,GPU-hours,true,derived
cost,0.0260656645659352,CNY,true,derived
