update,reward_mean,reward_std,reward_variance,loss,total_loss,total_loss_definition,grad_norm,grad_norm_available,grad_norm_reason,grad_norm_raw_metric_key,policy_grad_norm,policy_grad_norm_available,policy_grad_norm_reason,policy_grad_norm_raw_metric_key,value_grad_norm,value_grad_norm_available,value_grad_norm_reason,value_grad_norm_raw_metric_key,entropy,policy_entropy_mean,policy_entropy_mean_available,policy_entropy_mean_reason,policy_entropy_std,policy_entropy_std_available,policy_entropy_std_reason,response_token_entropy_mean,response_token_entropy_mean_available,response_token_entropy_mean_reason,entropy_metric_source,entropy_raw_metric_key,entropy_logits_or_log_probabilities,entropy_response_axis_only,entropy_excludes_prompt,entropy_excludes_pad,entropy_excludes_eos,entropy_token_mask,entropy_aggregation,entropy_dtype,entropy_formula,entropy_trl_version,entropy_transformers_version,entropy_extra_model_forward,entropy_full_logits_persisted,learning_rate,mean_completion_length,completion_length_mean,completion_length_std,eos_rate,eos_rate_available,eos_rate_reason,truncation_rate,truncation_rate_available,truncation_rate_reason,unique_completion_rate,completion_duplicate_rate,completion_diversity_definition,zero_advantage_fraction,zero_advantage_group_count,group_rewards,group_reward_variances,verifier_status_counts,format_accuracy,valid_answer_rate,canonical_pass_rate,generated_tokens,cumulative_generated_tokens,kl,kl_available,kl_raw_key,kl_unavailable_reason,clip_fraction,clip_fraction_available,clip_fraction_raw_key,clip_fraction_reason,ratio_mean,ratio_available,ratio_raw_key,ratio_reason,ratio_variance,ratio_variance_available,ratio_variance_raw_key,ratio_variance_reason,advantage_mean,advantage_std,advantage_available,advantage_reason,return_mean,return_std,return_available,return_reason,policy_loss,value_loss,value_loss_coefficient
1,0.215625,0.3101001602305294,0.096162109375,0.56633944734931,0.56633944734931,policy_loss + TRL_0.24.0_default_vf_coef_0.1 * value_loss,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,1.1066670417785645,1.1066670417785645,True,,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,TRL 0.24.0 native trainer metric,policy/entropy_avg,current policy training logits,True,True,False,False,none in TRL policy/entropy_avg reduction,"unmasked mean over response-axis training logits per microbatch, then mean over PPO epoch/minibatch/gradient-accumulation cells",BF16 policy logits under formal config; scalar converted to Python float,H=-sum_v softmax(logits)_v * log_softmax(logits)_v (nats),0.24.0,4.57.6,False,False,1e-05,99.25,99.25,62.01360737773606,1.0,True,,0.0,True,,1.0,0.0,exact raw-completion UTF-8 equality within each four-sample problem group; rates are the mean of four group rates,0.0,0,"[[0.2, 0.2, 0.0, 0.2], [0.0, 0.05, 0.0, 0.0], [1.0, 1.0, 0.0, 0.2], [0.2, 0.2, 0.2, 0.0]]","[0.007500000000000001, 0.00046875000000000004, 0.2075, 0.007500000000000001]","{'format_error': 7, 'verified_pass': 2, 'wrong_answer': 7}",0.5625,0.0,0.125,1588,1588,0.0004086608241777867,True,policy/approxkl_avg,,0.00518252607434988,True,policy/clipfrac_avg,,0.9955171942710876,True,val/ratio,,1.230596922141558e-06,True,val/ratio_var,,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.025859501212835312,5.404799461364746,0.1
2,0.07187500000000001,0.08833308765689106,0.007802734375,0.4309438206255436,0.4309438206255436,policy_loss + TRL_0.24.0_default_vf_coef_0.1 * value_loss,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,1.0901492834091187,1.0901492834091187,True,,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,TRL 0.24.0 native trainer metric,policy/entropy_avg,current policy training logits,True,True,False,False,none in TRL policy/entropy_avg reduction,"unmasked mean over response-axis training logits per microbatch, then mean over PPO epoch/minibatch/gradient-accumulation cells",BF16 policy logits under formal config; scalar converted to Python float,H=-sum_v softmax(logits)_v * log_softmax(logits)_v (nats),0.24.0,4.57.6,False,False,9.6875e-06,107.5,107.5,48.228622207149975,1.0,True,,0.0,True,,1.0,0.0,exact raw-completion UTF-8 equality within each four-sample problem group; rates are the mean of four group rates,0.25,1,"[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.05], [0.2, 0.15, 0.0, 0.2], [0.2, 0.0, 0.2, 0.15]]","[0.0, 0.00046875000000000004, 0.006718750000000001, 0.006718750000000001]","{'format_error': 12, 'wrong_answer': 4}",0.25,0.0,0.0,1720,3308,0.0008428490255028009,True,policy/approxkl_avg,,0.005571833811700344,True,policy/clipfrac_avg,,0.9947460889816284,True,val/ratio,,8.705073923920281e-07,True,val/ratio_var,,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.02222594991326332,4.087178707122803,0.1
3,0.34375,0.3868442031360946,0.1496484375,0.4689940806478262,0.4689940806478262,policy_loss + TRL_0.24.0_default_vf_coef_0.1 * value_loss,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,1.913795828819275,1.913795828819275,True,,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,TRL 0.24.0 native trainer metric,policy/entropy_avg,current policy training logits,True,True,False,False,none in TRL policy/entropy_avg reduction,"unmasked mean over response-axis training logits per microbatch, then mean over PPO epoch/minibatch/gradient-accumulation cells",BF16 policy logits under formal config; scalar converted to Python float,H=-sum_v softmax(logits)_v * log_softmax(logits)_v (nats),0.24.0,4.57.6,False,False,9.375000000000001e-06,94.1875,94.1875,51.18620266976249,0.9375,True,,0.0625,True,,1.0,0.0,exact raw-completion UTF-8 equality within each four-sample problem group; rates are the mean of four group rates,0.5,2,"[[0.15, 0.0, 0.2, 0.2], [0.2, 0.2, 0.2, 0.2], [0.15, 0.0, 0.0, 0.0], [1.0, 1.0, 1.0, 1.0]]","[0.006718750000000001, 0.0, 0.004218749999999999, 0.0]","{'format_error': 6, 'verified_pass': 4, 'wrong_answer': 6}",0.625,0.0,0.25,1507,4815,0.0004203168791718781,True,policy/approxkl_avg,,0.004508535377681255,True,policy/clipfrac_avg,,0.9960388541221619,True,val/ratio,,6.267117100833275e-07,True,val/ratio_var,,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.00040391646325588226,4.685901641845703,0.1
4,0.509375,0.4381134092618029,0.191943359375,0.47135964892804627,0.47135964892804627,policy_loss + TRL_0.24.0_default_vf_coef_0.1 * value_loss,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,1.4370014667510986,1.4370014667510986,True,,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,TRL 0.24.0 native trainer metric,policy/entropy_avg,current policy training logits,True,True,False,False,none in TRL policy/entropy_avg reduction,"unmasked mean over response-axis training logits per microbatch, then mean over PPO epoch/minibatch/gradient-accumulation cells",BF16 policy logits under formal config; scalar converted to Python float,H=-sum_v softmax(logits)_v * log_softmax(logits)_v (nats),0.24.0,4.57.6,False,False,9.0625e-06,94.0,94.0,39.70831147253683,1.0,True,,0.0,True,,1.0,0.0,exact raw-completion UTF-8 equality within each four-sample problem group; rates are the mean of four group rates,0.0,0,"[[0.15, 0.2, 0.2, 0.2], [1.0, 1.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.2], [0.2, 1.0, 1.0, 1.0]]","[0.0004687500000000003, 0.25, 0.2075, 0.12]","{'format_error': 4, 'verified_pass': 7, 'wrong_answer': 5}",0.75,0.0,0.4375,1504,6319,0.0007767484639771283,True,policy/approxkl_avg,,0.004082744009792805,True,policy/clipfrac_avg,,0.9933071732521057,True,val/ratio,,1.3313510862644762e-05,True,val/ratio_var,,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,-0.0025152061134576797,4.738748550415039,0.1
5,0.275,0.359687364248454,0.129375,0.4711781826801598,0.4711781826801598,policy_loss + TRL_0.24.0_default_vf_coef_0.1 * value_loss,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,1.411299705505371,1.411299705505371,True,,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,TRL 0.24.0 native trainer metric,policy/entropy_avg,current policy training logits,True,True,False,False,none in TRL policy/entropy_avg reduction,"unmasked mean over response-axis training logits per microbatch, then mean over PPO epoch/minibatch/gradient-accumulation cells",BF16 policy logits under formal config; scalar converted to Python float,H=-sum_v softmax(logits)_v * log_softmax(logits)_v (nats),0.24.0,4.57.6,False,False,8.750000000000001e-06,91.625,91.625,46.0636448297353,0.9375,True,,0.0625,True,,1.0,0.0,exact raw-completion UTF-8 equality within each four-sample problem group; rates are the mean of four group rates,0.5,2,"[[0.0, 0.0, 0.0, 0.0], [0.2, 1.0, 1.0, 0.0], [0.2, 0.2, 0.2, 0.2], [1.0, 0.2, 0.0, 0.2]]","[0.0, 0.2075, 0.0, 0.1475]","{'format_error': 6, 'verified_pass': 3, 'wrong_answer': 7}",0.625,0.0,0.1875,1466,7785,0.00039786609704606235,True,policy/approxkl_avg,,0.005366822704672813,True,policy/clipfrac_avg,,0.9955480694770813,True,val/ratio,,8.45601505261584e-07,True,val/ratio_var,,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0035166111774742603,4.6766157150268555,0.1
6,0.1125,0.24141509894784957,0.05828125,0.4474616151303053,0.4474616151303053,policy_loss + TRL_0.24.0_default_vf_coef_0.1 * value_loss,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,1.1008899211883545,1.1008899211883545,True,,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,TRL 0.24.0 native trainer metric,policy/entropy_avg,current policy training logits,True,True,False,False,none in TRL policy/entropy_avg reduction,"unmasked mean over response-axis training logits per microbatch, then mean over PPO epoch/minibatch/gradient-accumulation cells",BF16 policy logits under formal config; scalar converted to Python float,H=-sum_v softmax(logits)_v * log_softmax(logits)_v (nats),0.24.0,4.57.6,False,False,8.4375e-06,88.125,88.125,39.1485552096115,1.0,True,,0.0,True,,1.0,0.0,exact raw-completion UTF-8 equality within each four-sample problem group; rates are the mean of four group rates,0.25,1,"[[0.0, 0.0, 0.0, 0.1], [0.0, 0.0, 0.0, 0.0], [0.15, 0.15, 0.2, 1.0], [0.0, 0.0, 0.2, 0.0]]","[0.0018750000000000001, 0.0, 0.130625, 0.007500000000000001]","{'format_error': 12, 'parse_error': 1, 'verified_pass': 1, 'wrong_answer': 2}",0.25,0.0,0.0625,1410,9195,0.0006434272509068251,True,policy/approxkl_avg,,0.0006793478387407959,True,policy/clipfrac_avg,,0.9936894774436951,True,val/ratio,,6.074453153814829e-07,True,val/ratio_var,,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0002592187374830246,4.472023963928223,0.1
7,0.14375,0.3278123510485839,0.1074609375,0.36378510240465406,0.36378510240465406,policy_loss + TRL_0.24.0_default_vf_coef_0.1 * value_loss,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,0.9692543745040894,0.9692543745040894,True,,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,TRL 0.24.0 native trainer metric,policy/entropy_avg,current policy training logits,True,True,False,False,none in TRL policy/entropy_avg reduction,"unmasked mean over response-axis training logits per microbatch, then mean over PPO epoch/minibatch/gradient-accumulation cells",BF16 policy logits under formal config; scalar converted to Python float,H=-sum_v softmax(logits)_v * log_softmax(logits)_v (nats),0.24.0,4.57.6,False,False,8.125000000000001e-06,124.25,124.25,71.0057216004457,0.875,True,,0.125,True,,1.0,0.0,exact raw-completion UTF-8 equality within each four-sample problem group; rates are the mean of four group rates,0.5,2,"[[0.0, 0.0, 0.0, 0.0], [0.0, 0.1, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.2, 0.0, 0.0, 1.0]]","[0.0, 0.176875, 0.0, 0.17]","{'format_error': 12, 'parse_error': 1, 'verified_pass': 2, 'wrong_answer': 1}",0.25,0.0,0.125,1988,11183,0.0003897460992448032,True,policy/approxkl_avg,,0.003466543974354863,True,policy/clipfrac_avg,,0.9954644441604614,True,val/ratio,,7.669837032153737e-07,True,val/ratio_var,,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0072885537520051,3.5649654865264893,0.1
8,0.2125,0.3818131087325316,0.14578125,0.38624407351017,0.38624407351017,policy_loss + TRL_0.24.0_default_vf_coef_0.1 * value_loss,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,1.0960034132003784,1.0960034132003784,True,,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,TRL 0.24.0 native trainer metric,policy/entropy_avg,current policy training logits,True,True,False,False,none in TRL policy/entropy_avg reduction,"unmasked mean over response-axis training logits per microbatch, then mean over PPO epoch/minibatch/gradient-accumulation cells",BF16 policy logits under formal config; scalar converted to Python float,H=-sum_v softmax(logits)_v * log_softmax(logits)_v (nats),0.24.0,4.57.6,False,False,7.8125e-06,142.8125,142.8125,68.58682339742816,0.875,True,,0.125,True,,1.0,0.0,exact raw-completion UTF-8 equality within each four-sample problem group; rates are the mean of four group rates,0.25,1,"[[1.0, 1.0, 1.0, 0.0], [0.1, 0.0, 0.0, 0.0], [0.0, 0.15, 0.15, 0.0], [0.0, 0.0, 0.0, 0.0]]","[0.1875, 0.0018750000000000001, 0.005625, 0.0]","{'format_error': 12, 'parse_error': 1, 'verified_pass': 3}",0.25,0.0,0.1875,2285,13468,0.0007468803087249398,True,policy/approxkl_avg,,0.004288733005523682,True,policy/clipfrac_avg,,0.9936014413833618,True,val/ratio,,5.316451279213652e-06,True,val/ratio_var,,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.002476826310157776,3.837672472000122,0.1
9,0.07500000000000001,0.082915619758885,0.006875000000000001,0.5551609620451927,0.5551609620451927,policy_loss + TRL_0.24.0_default_vf_coef_0.1 * value_loss,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,1.712127685546875,1.712127685546875,True,,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,TRL 0.24.0 native trainer metric,policy/entropy_avg,current policy training logits,True,True,False,False,none in TRL policy/entropy_avg reduction,"unmasked mean over response-axis training logits per microbatch, then mean over PPO epoch/minibatch/gradient-accumulation cells",BF16 policy logits under formal config; scalar converted to Python float,H=-sum_v softmax(logits)_v * log_softmax(logits)_v (nats),0.24.0,4.57.6,False,False,7.500000000000001e-06,95.9375,95.9375,58.12536962248068,1.0,True,,0.0,True,,1.0,0.0,exact raw-completion UTF-8 equality within each four-sample problem group; rates are the mean of four group rates,1.0,4,"[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.1, 0.1, 0.1, 0.1], [0.2, 0.2, 0.2, 0.2]]","[0.0, 0.0, 0.0, 0.0]","{'format_error': 8, 'parse_error': 4, 'wrong_answer': 4}",0.5,0.0,0.0,1535,15003,0.00046003787429071963,True,policy/approxkl_avg,,0.0005186722264625132,True,policy/clipfrac_avg,,0.9954648017883301,True,val/ratio,,4.400804300530581e-06,True,val/ratio_var,,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.06563778966665268,4.8952317237854,0.1
10,0.29375,0.4141538814257329,0.1715234375,0.451804312132299,0.451804312132299,policy_loss + TRL_0.24.0_default_vf_coef_0.1 * value_loss,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,1.679436206817627,1.679436206817627,True,,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,TRL 0.24.0 native trainer metric,policy/entropy_avg,current policy training logits,True,True,False,False,none in TRL policy/entropy_avg reduction,"unmasked mean over response-axis training logits per microbatch, then mean over PPO epoch/minibatch/gradient-accumulation cells",BF16 policy logits under formal config; scalar converted to Python float,H=-sum_v softmax(logits)_v * log_softmax(logits)_v (nats),0.24.0,4.57.6,False,False,7.1875e-06,78.25,78.25,48.847338719729656,1.0,True,,0.0,True,,1.0,0.0,exact raw-completion UTF-8 equality within each four-sample problem group; rates are the mean of four group rates,0.25,1,"[[1.0, 0.0, 1.0, 0.2], [0.0, 0.0, 0.0, 0.0], [1.0, 0.15, 1.0, 0.2], [0.0, 0.0, 0.15, 0.0]]","[0.2075, 0.0, 0.17046875, 0.004218749999999999]","{'format_error': 10, 'verified_pass': 4, 'wrong_answer': 2}",0.375,0.0,0.25,1252,16255,0.00030121696181595325,True,policy/approxkl_avg,,0.0023303981870412827,True,policy/clipfrac_avg,,0.996708333492279,True,val/ratio,,2.2267051917879144e-06,True,val/ratio_var,,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.01003084983676672,4.417734622955322,0.1
