timestamp,gpu_memory_used_mb,gpu_utilization_pct,power_draw_w,temperature_c,process_rss_mb,elapsed_seconds
2026-07-16T11:19:35.039047+00:00,0.0,0.0,49.24,31.0,461.234375,0.4367998316884041
2026-07-16T11:19:35.369846+00:00,0.0,0.0,49.31,31.0,507.98046875,0.7675992995500565
2026-07-16T11:19:35.707744+00:00,0.0,0.0,49.31,31.0,523.39453125,1.105498794466257
2026-07-16T11:19:36.036073+00:00,0.0,0.0,49.33,31.0,583.9296875,1.4338285215198994
2026-07-16T11:19:36.360953+00:00,0.0,0.0,49.35,31.0,612.375,1.7587075419723988
2026-07-16T11:19:36.670120+00:00,0.0,0.0,49.39,31.0,634.1171875,2.0678741447627544
2026-07-16T11:19:36.978198+00:00,0.0,0.0,49.39,31.0,636.953125,2.3759535625576973
2026-07-16T11:19:37.297190+00:00,4.0,0.0,49.4,31.0,655.91796875,2.694947227835655
2026-07-16T11:19:37.644535+00:00,4.0,0.0,49.39,31.0,657.86328125,3.042255721986294
2026-07-16T11:19:38.017243+00:00,4.0,0.0,49.35,31.0,719.57421875,3.414997026324272
2026-07-16T11:19:38.327480+00:00,4.0,0.0,49.32,31.0,745.01171875,3.7252344228327274
2026-07-16T11:19:38.729489+00:00,4.0,0.0,49.31,31.0,766.11328125,4.127241790294647
2026-07-16T11:19:39.119619+00:00,4.0,0.0,49.32,31.0,837.81640625,4.517364777624607
2026-07-16T11:19:39.644470+00:00,20.0,0.0,50.29,31.0,958.0234375,5.0422128438949585
2026-07-16T11:19:39.993893+00:00,1397.0,8.0,65.04,32.0,1850.75390625,5.3916484117507935
2026-07-16T11:19:40.356017+00:00,2451.0,9.0,74.07,32.0,939.23828125,5.753771722316742
2026-07-16T11:19:40.681497+00:00,2633.0,1.0,79.32,32.0,1277.12890625,6.079234521836042
2026-07-16T11:19:40.985285+00:00,2657.0,0.0,79.61,32.0,1597.39453125,6.383040547370911
2026-07-16T11:19:41.288521+00:00,2683.0,22.0,81.51,32.0,1750.9921875,6.686275627464056
2026-07-16T11:19:41.592704+00:00,2683.0,30.0,83.68,33.0,1751.7734375,6.990459073334932
2026-07-16T11:19:41.919084+00:00,2683.0,29.0,86.18,33.0,1751.8203125,7.316838886588812
2026-07-16T11:19:42.225069+00:00,2705.0,31.0,86.87,33.0,1751.83203125,7.622824162244797
2026-07-16T11:19:42.527854+00:00,2745.0,31.0,87.06,33.0,1751.87109375,7.925610154867172
2026-07-16T11:19:42.832459+00:00,2765.0,30.0,87.3,33.0,1751.87109375,8.230214435607195
2026-07-16T11:19:43.159547+00:00,2785.0,30.0,87.38,33.0,1751.88671875,8.557302102446556
2026-07-16T11:19:43.486527+00:00,2807.0,31.0,87.49,33.0,1751.9140625,8.884282764047384
2026-07-16T11:19:43.789314+00:00,2847.0,29.0,87.49,33.0,1751.9140625,9.18706826493144
2026-07-16T11:19:44.135975+00:00,2867.0,31.0,87.52,33.0,1751.98828125,9.533708177506924
2026-07-16T11:19:44.436655+00:00,2889.0,31.0,87.74,33.0,1751.98828125,9.834410946816206
2026-07-16T11:19:44.719664+00:00,2929.0,31.0,87.79,33.0,1752.0546875,10.117420617491007
2026-07-16T11:19:45.070892+00:00,2949.0,31.0,88.03,33.0,1752.09375,10.468635331839323
2026-07-16T11:19:45.371880+00:00,3247.0,31.0,89.09,33.0,1752.34765625,10.769635271281004
2026-07-16T11:19:45.677522+00:00,3247.0,31.0,89.14,33.0,1752.359375,11.075277663767338
2026-07-16T11:19:45.980749+00:00,3309.0,34.0,90.35,33.0,1752.36328125,11.378479436039925
2026-07-16T11:19:46.284782+00:00,3309.0,31.0,89.18,33.0,1752.390625,11.68253768235445
2026-07-16T11:19:46.588366+00:00,3309.0,29.0,89.23,33.0,1752.39453125,11.986121483147144
2026-07-16T11:19:46.914493+00:00,3309.0,31.0,89.15,33.0,1752.40625,12.31224861368537
2026-07-16T11:19:47.216550+00:00,3309.0,31.0,88.55,33.0,1752.4296875,12.614296961575747
2026-07-16T11:19:47.517588+00:00,3309.0,31.0,88.65,33.0,1752.4296875,12.915343139320612
2026-07-16T11:19:47.816029+00:00,3309.0,31.0,88.66,33.0,1752.44140625,13.213784266263247
2026-07-16T11:19:48.120410+00:00,3309.0,30.0,88.55,33.0,1752.44140625,13.518164843320847
2026-07-16T11:19:48.401925+00:00,3309.0,31.0,88.51,33.0,1752.48046875,13.799680355936289
2026-07-16T11:19:48.704449+00:00,3309.0,31.0,88.82,33.0,1752.48046875,14.10220356285572
2026-07-16T11:19:49.031283+00:00,3309.0,30.0,88.83,33.0,1752.484375,14.429037872701883
2026-07-16T11:19:49.337207+00:00,3309.0,31.0,89.07,33.0,1752.51171875,14.734961867332458
2026-07-16T11:19:49.637187+00:00,3595.0,30.0,89.12,33.0,1752.54296875,15.034941460937262
2026-07-16T11:19:49.962932+00:00,3595.0,30.0,90.45,33.0,1752.56640625,15.360687885433435
2026-07-16T11:19:50.268592+00:00,3595.0,31.0,90.5,33.0,1752.56640625,15.666347000747919
2026-07-16T11:19:50.605047+00:00,3911.0,20.0,93.31,34.0,1775.09375,16.00278763845563
2026-07-16T11:19:51.049417+00:00,4509.0,4.0,101.93,34.0,1777.45703125,16.44717215374112
2026-07-16T11:19:51.426476+00:00,10881.0,39.0,109.76,34.0,1841.0703125,16.82423112168908
